,Vehicle,Model,Model Year,Problem,Sub Problem,Model Title,Model Problem,distance covered,description
10,Honda,Pilot,2003,interior accessories problems,Ignition Switch Problem,Pilot EX,Automatic transmission,"180,000 miles"," The key started to become jammed. Very difficult to turn on. Of course on a very busy work day I finished one job and was ready to go to next appointment when I tried to turn on car the key would not turn. I was stuck at job site for 2.5 hrs waiting for a tow truck. Hand to cancel all of my appointments. Towed my car to Firestone where they quoted me $602. To have the key cylinder replaced, labor and to recalibrate. This should definitely be on Hondas list of recalls!!!!				- arcadio,				Wesley Chapel, FL, US"
11,Honda,Pilot,2003,interior accessories problems,Ignition Switch Problem,Pilot EX 4,Automatic transmission,"195,000 miles","ignition lock and switch went badI was surprisingly informed by Honda dealer that Ignition lock and switch went bad even though this was recalled. Therefore, they are making pay $683 for the entire repair. They will probably get away with this because of the mileage of the vehicle. I have never experienced an ignition switch going bad. We are the third owner of this vehicle which means the vehicle was purchased used from an individual.Honda should at least try to make some remedy of the situation.				- lad,				Odenton, MD, US"
12,Honda,Pilot,2003,interior accessories problems,Ignition Switch Problem,Pilot,Automatic transmission,"150,000 miles","I have been having problem with the key and ignition. The key will go into the ignition but won't turn. Which means you can't turn the car on. I had it towed to the dealership back in 2013, which they fixed the 2013 recall part for the ignition. Unfortunately, the recall for the ignition didn't cover the tumbler or the key. The dealership wanted over $1000 to fix it. I had the car towed back to my address and the tow company put me in contact with a locksmith that was able to re-key and fix the tumbler for less than $200 dollars. Now the problem has arisen again with the key and ignition. The key goes in the ignition but will not turn so the car can go on. I had to call a tow truck. Luckily, after an hour of sitting in a parking lot with my son, I retried to see if it will work and it did. I got home but the car is now sitting in my driveway and have to find a locksmith to fix it yet again.				- Melissa M.,				Largo, FL, US"
13,Honda,Pilot,2003,interior accessories problems,Ignition Switch Problem,Pilot LX,Automatic transmission,"125,000 miles","So for about a week or so I have had to ""jiggle"" the steering wheel when putting the key in to get it in all the way or to be able to turn the key. Yesterday, nothing would help! Got the key in, but it would not turn for nothing!! Fortunately it happened in a place where I could safely leave my car until able to take care of it. And I was able to use a relatives car for the day to do what I needed to do.After looking onlin , it seems Honda will probably charge me $500 or more, so I think the first thing I will do is check with a locksmith. That should also save me a towing fee! I will update later this week when I decide how I will handle this.Update from Jun 15, 2015: So I called Honda , they said $300 for part, $250 labor + $75 Re-key  (additional $50 to tow it there)Called some locksmiths, I've got one coming to my car tomorrow morning (no tow fee!) to fix it.  $200 total.  Says he's done this kind of thing many times. Hope it all goes well and I'm up and running by later tomorrow .   				- Melissa M.,				Millville, NJ, US"
14,Honda,Pilot,2003,interior accessories problems,Ignition Switch Problem,Pilot LX,Automatic transmission,"175,000 miles","I have the same problem of the key not wanting to go into the ignition without playing with it and praying! This needs to be a recall obviously, and trying to charge $500 to fix..Crazy!! I just leave a key in the ignition at all times. It's a pain not being able to use the remote since it won't work as long as the key is in, but I can't take a chance of it not going in at all!!				- bbhensler,				Lexington, KY, US"
15,Honda,Pilot,2003,interior accessories problems,Ignition Switch Problem,Pilot,Automatic transmission,"124,000 miles","This is a serious problem my wife and son almost got stuck in a empty parking lot at 9pm at night in 0 degree weather.I called Honda they wanted 250 for the part plus labor comes to 500. did some research called a locksmith found its a common problem that Honda refuses to fix. the teeth inside the tumbler become worn which causes the tumbler to stick. also the fact that Honda charges 200 in labor for a 20 mins it took to remove it is robbery. will be contacting my legislator and a few other sources to have the amount of money being charged for a 60 min job. also this is dangerous what happens If my wife and son were out in the middle of nowhere with no cell service they could have died or been severely injured. this needs to be recalled now before someone get seriously hurt.				- nyjetsgreen,				Pittston, PA, US"
16,Honda,Pilot,2003,interior accessories problems,Ignition Switch Problem,Pilot EX 3.5L V6,Automatic transmission,"180,000 miles","Key will not turn to start the engine right away. I can take the key out and put it back in. After a while something clicks and the engine starts. Sometimes changing to a spare key helps - sometimes not. Sometimes pressing the auto door open helps - sometimes not. It seems like the problem is getting worse and worse.Update from Mar 7, 2015: Brian from American Locksmiths, LLC in Waukesha WI did a great job to fix my ignition key problem.				- kurtwi,				Brookfield, WI, US"
17,Honda,Pilot,2003,interior accessories problems,Ignition Switch Problem,Pilot,Automatic transmission,"140,000 miles","Key won't go into the ignition unless the wheel is turned just right. I fear I may not be able to get it in at all soon.				- mainor49,				Bloomington, IL, US"
18,Honda,Pilot,2003,interior accessories problems,Ignition Switch Problem,Pilot EX 3.5L V6,Automatic transmission,"115,000 miles","I noticed that you already have this complaint listed several times on your site and I just wanted to add mine so that Honda will take some action to fix the problem at their expense. My ignition key will not turn at times. I have to remove it several times and keep inserting it until it turns. It happens randomly but seems to be getting worse as time goes by. I am afraid that one day I will get stranded. I noticed that several people have reported that Honda will charge about $500 to fix this problem. That is a rip off to say the least. Given that many people have this problem, Honda should accept the fact that they installed an ignition switch that has a defective design and should initiate a recall.				- mitcheb,				Randleman, NC, US"
19,Honda,Pilot,2003,interior accessories problems,Ignition Switch Problem,Pilot EX V6,Automatic transmission,"200,500 miles","Early 2014 we began having trouble with inserting the key into the ignition and turning the ignition to start the car. It began sporadically and escalated to frequently. By removing the key and reinserting it, the ignition would eventually turn. During this period, my husband backed the Pilot on to our drive (which is a hill). Some how, with the car still in reverse, he was able to turn the SUV off and remove the key. Fortunately it was in reverse on the hill, it would have rolled into the street otherwise. About a week later I discovered there was a recall for the ignition switch shift interlock for ""certain"" 2003 Honda Pilots that included ours. I found information on nhtsa.gov website that stated repairing the ignition switch interlock and any part of the ignition switch that was necessary. On May 2014 the recall was repaired. We thought this remedied the problem (not being able to turn the ignition). It didn't. 'n September 4, 2014, after inserting the key into the ignition, not only would it not turn, but the key was stuck. It wouldn't budge! Had the car towed to Honda dealer and was told that it was unrelated to the recall that was repaired in May. The Key Tumbler of the ignition switch had failed. I contested their conclusion based on Campaign #12V573000, that states replacing the ignition switch interlock and any other parts of the ignition as necessary. on the nhtsa website because the ignition key tumbler is a part of the ignition. They denied it. It I'll cost us $520 to repair.				- Ronald W.,				Cincinnati, OH, US"
20,Honda,Pilot,2003,interior accessories problems,Chrome Paint Is Chipping From Interior Door Handles,Pilot LX,Automatic transmission,"80,000 miles"," cheap...cheap...cheap... Honda should recall and replace these!				- bbhensler,				Lexington, KY, US"
21,Honda,Pilot,2003,interior accessories problems,Chrome Paint Is Chipping From Interior Door Handles,Pilot,Automatic transmission,"125,000 miles","Chrome peeling off inside door handles causes cuts. There needs to be an easy fix.				- mainor49,				Bloomington, IL, US"
22,Honda,Pilot,2003,interior accessories problems,Chrome Paint Is Chipping From Interior Door Handles,Pilot EX 3.2L V6,Automatic transmission,"80,000 miles","We bought this car used in 2007 and from the first it has had this problem - the chrome is falling off the inside door handles. This has caused numerous cuts and irritations to members of my family. This really should be the subject of a recall by Honda and the door handles should be replaced for free.				- Andrew W.,				Gaithersburg, MD, US"
23,Honda,Pilot,2003,interior accessories problems,Chrome Paint Is Chipping From Interior Door Handles,Pilot ES 3.2L,Automatic transmission,"145,000 miles"," I would like to complain about the chrome peeling off of the interior door handles. This is my wife's car, and she never mentioned this to me, but we were going somewhere, and our daughter cut her finger very bad in the chrome peeling off! I am going to order replacements, but am shocked that Honda would not recall this for replacement on there own WITHOUT getting the pressure of the media. This surprised me that this is occurring on many of the pilots. I think people are starting to speak up, and voice their displeasure, and I'm one of them!Shame on you Honda for ""hoping"" this issue would just ""go"" away! It's not, and if you could of seen my daughter's finger, you would not be happy either!Jim				- jim_59,				Tyrone, PA, US"
24,Honda,Pilot,2003,interior accessories problems,Chrome Paint Is Chipping From Interior Door Handles,Pilot EX 3.2L,Automatic transmission,"99,500 miles","My son cut his right middle finger very deeply and he is a pitcher for the Varsity Baseball Team. He can not throw the ball right now for a few weeks. This problem is serious, it's like razor blades for door handles and Honda should step to the plate and address it. I have never seen this issue with any other car. Maybe they should make real chrome handles and charge a few dollars extra for their already overpriced vehicles. I will replace these handles since my son is the 4th to be injured by these cheezy inside door handles. It's incredible how some petty problems get recalled and more serious ones get ignored.				- djanicel,				Boscawen, NH, US"
25,Honda,Pilot,2003,interior accessories problems,Chrome Paint Is Chipping From Interior Door Handles,Pilot EXL 3.5L V6,Automatic transmission,"70,000 miles","When opening the door from the inside of vehicle, the peeling cover on the door handle can cut your hand.				- standishl,				Corryton, TN, US"
26,Honda,Pilot,2003,interior accessories problems,Chrome Paint Is Chipping From Interior Door Handles,Pilot EX-L 3.5L V6,Automatic transmission,"150,000 miles"," Interior door handles are chrome plated. After a while the chrome begins to peel off. This chrome is very sharp and you will cut your fingers. It is ridiculous that Honda will not cover this as it is an known safety issue...Shameful! This is not random thing. My friend has the exact same problem in his Pilot.				- Tom M.,				Winfield, WV, US"
27,Honda,Pilot,2003,interior accessories problems,Chrome Paint Is Chipping From Interior Door Handles,Pilot,Automatic transmission,"90,000 miles","Really tired of cutting my fingers on the chipping chrome handles. Looking for a solution, hoping it won't cost too much.				- lwmo,				Chesterfield, MO, US"
28,Honda,Pilot,2003,interior accessories problems,Chrome Paint Is Chipping From Interior Door Handles,Pilot EX-L V6,Automatic transmission,"109,000 miles","Apparently I'm not the only one with this issue, so I'm guessing it's not normal wear and tear on the vehicle. We are the second owners of the vehicle and they have had this issue of the door handle peeling and cutting my hand when i'm not paying attention. Getting ready to call the dealer and ask them about it since I cannot find the parts anywhere else for some reason! POS cheap Honda parts!! Normally I wouldn't say that about a Honda but....				- jgeib,				Idaho Falls, ID, US"
29,Honda,Pilot,2003,interior accessories problems,Chrome Paint Is Chipping From Interior Door Handles,Pilot EXL 3.5L V6,Automatic transmission,"101,800 miles","Several others have reported cuts due to this problem. I sliced two fingers on the driver's door handle (like paper cuts) deep enough that they bled. I'm prone to infections, so this was not at all a good thing for me.I have not yet talked to my local dealer but am not expecting any sympathy on a 7 year old vehicle with over 100K. But I agree that this is very cheap on a $30K+ vehicle on the part of Honda. I wonder if they have corrected the problem for later models. I'm also surprised that so far none of the aftermarket sites seem to sell this part.				- E B.,				Hendersonville, NC, US"
30,Honda,Pilot,2003,interior accessories problems,Chrome Paint Is Chipping From Interior Door Handles,Pilot ESX(RES) 3.2L,Automatic transmission,"68,000 miles"," The chrome paint on both front door handles of my 2003 Pilot has peeled off the handle. The drivers door was the worst shape and I had cut myself two separate times before I had them both replaced. To make matters worse the same exact thing happened on my 2003 Honda Civic. Honda really should step up and replace these parts as it's an obvious craftsmanship defect.				- dbrett,				Wesley Chapel, FL, US"
31,Honda,Pilot,2003,interior accessories problems,Chrome Paint Is Chipping From Interior Door Handles,Pilot EX 3.5L,Automatic transmission,"100,500 miles","I think that its crazy that Honda couldn't use solid metal door handles instead of going through all the trouble of dipping cheap plastic ones in chrome. It's not like the car is going to be too heavy or something & you would think that for the price you pay for on of these cars they could afford to spring for solid door handles. I am the second owner & after we had the car for a couple months we started to notice the door handles chrome layer peeling off revealing this white cheap looking plastic underneath. One fix I am contemplating is just masking the door & taking some nice flat black spray paint to them. Something that will match the rest of the black trim. I just don't want to go through all the trouble & expense of replacing them with the same junk & possibly have them start pealing on me again in a couple years.				- fischerboymike,				Laredo, TX, US"
32,Honda,Pilot,2003,interior accessories problems,Chrome Paint Is Chipping From Interior Door Handles,Pilot LX 3.2L V6,Automatic transmission,"45,000 miles","Door handle chrome from interior handle is peeling and creates a cutting hazard to users. Both driver and passenger handles. Now starting in rear door handles. American Honda claims this is not a problem that has been reported previously and will not cover since warranty has expired.				- dporter,				Lakewood, CO, US"
33,Honda,Pilot,2003,interior accessories problems,Chrome Paint Is Chipping From Interior Door Handles,Pilot EX-L 3.8L,Automatic transmission,"32,000 miles","Same problem here. Sure seems to be a Honda defect.				- Dwain S.,				Raleigh, NC, US"
34,Honda,Pilot,2003,interior accessories problems,Chrome Paint Is Chipping From Interior Door Handles,Pilot Navigator V6,Automatic transmission,"30,000 miles","Chrome paint is peeling from the interior door handles. It is very sharp. I've cut my finger on it in the past. Now that it's peeled off it does not cut but looks ugly. I'm going to investigate the price of replacing the parts but my car is 5 years old and I've lived with it this long.				- ritamcf,				Chapel Hill, NC, US"
35,Honda,Pilot,2003,interior accessories problems,Chrome Paint Is Chipping From Interior Door Handles,Pilot LX V6,Automatic transmission,"45,000 miles","The chrome paint is peeling from the interior door handles. It is very sharp, and has cut my son's finger. We will definitely have to replace them soon.				- Amy G.,				Canyon, TX, US"
36,Honda,Pilot,2003,interior accessories problems,Chrome Paint Is Chipping From Interior Door Handles,Pilot LX V6,Automatic transmission,"50,000 miles","The driver and passenger interior door handles are shiny chrome painted. This chrome paint is now starting to chip and at times can cut a person and the paint tends to get stuck in a persons hand. I will soon have to just have them replaced.				- Elizabeth G.,				Springfield, VA, US"
37,Honda,Pilot,2003,interior accessories problems,Door Locks Don't Work Properly,Pilot EXL 3.2L V6,Automatic transmission,"152,000 miles"," It started with the passenger side not locking and now the drivers side won’t work. The key fob won’t work at all. Some say it could be a actuator or wiring, a solenoid. As many people are making complaints on it, it should be a recall. It’s a very expensive repair. My passenger door the one that started acting strange first, is one I rarely use. Please people complain about this, maybe they’ll do a recall on door locks for 2003 -2008.				- deejay2577,				Douglasville, US"
38,Honda,Pilot,2003,interior accessories problems,Door Locks Don't Work Properly,Pilot EX 3.5L V6,Automatic transmission,"140,000 miles","Passenger side auto door locks do not work any longer.				- kurtwi,				Brookfield, WI, US"
39,Honda,Pilot,2003,interior accessories problems,Door Locks Don't Work Properly,Pilot,Automatic transmission,"150,000 miles","Power door locks do not work properly. Drivers door will lock and unlock only itself and the second row door on the passenger side. Front passenger door will lock and unlock drivers side and second row passenger door, but not itself. Neither will lock or unlock the second row door behind the drivers door. Cargo door still works fine.				- Melissa R.,				FRONT ROYAL, VA, US"
40,Honda,Pilot,2003,interior accessories problems,Door Locks Don't Work Properly,Pilot ES 3.2L V6,Automatic transmission,"71,000 miles","This problem is driving me nuts. The dealership said it was the drivers door lock actuator and needed to be replaced. They wanted $265.00 to replace it. I got the exact part and replaced it myself....NOT THE Problem. The replacement part was identical and it was a plug in part. There was no way to screw it up. Does anybody out there have a solution?				- Earle Stone 8.,				Fitchburg, Massachusetts., US"
41,Honda,Pilot,2003,interior accessories problems,Door Lock Actuator Fails,Pilot EX V6,Automatic transmission,"197,000 miles"," All 4 of my doors are not locking now. The driver's door stopped first and then the passenger door. The Honda dealership wants over $300 to replace. However my husband bought the part, but it took him almost here hours to fix. Now both back doors will not lock or unlock. It is frustrating. I have heard that many Pilot owners have had this same problem along with CRV owners too. I think there is a defect since they all went out almost the same time.				- Anita G.,				Bluff City, TN, US"
42,Honda,Pilot,2003,interior accessories problems,Door Lock Actuator Fails,Pilot V6,Automatic transmission,"117,624 miles","I have have to replace three door lock actuators in my Pilot. The first two occurred during my extended (100,000) mile warranty period, and did not cost me anything. The third cost me over $200, and now I have a fourth that needs replacing. The part is only $40 online, but you need a special type of screwdriver to remove the part without damaging the locking mechanism.				- wread,				Charleston, SC, US"
43,Honda,Pilot,2003,interior accessories problems,Seat Adjustment Doesn't Work,Pilot EX V6,Automatic transmission,"197,000 miles"," My 2003 Pilot’s driver seat busted somewhere in the undercarriage frame and now the seat rocks backwards and forwards in an unsafe manner. The following is an account of my contact with Honda:Dear Sir:Re: Case 05112984Recently I phoned your customer service recall department to find out whether or not there was one for a broken driver seat on a 2003 Pilot. In a very business manner I was told there was not; then I asked to speak with someone further up the ladder and she politely said I would only get the same answer. After some persistence, finally I was given another contact which proved equally unsatisfactory. I Googled “Broken driver seat Honda Pilot” and discovered I was not the only one to have this issue, albeit a small percentage. Given Honda’s propensity for safety and, one may add, promotional sensitivities I am amazed I met with total disregard in the statement, “Your vehicle is out of warranty.” I apologize for raising mawkish overtures; however, I am a pensioner on a limited budget unable to afford the expense of replacement and as such hope Honda may find, in their corporate heart, a willingness to replace or at least assist with recompense.And, I received the same off hand assistance with the Better Business Bureau. The fact that the driver’s seat is prone to breaking seems a definite hazard and one which could lead to a death.				- Jeff L.,				Atlanta, GA, US"
44,Honda,Pilot,2003,interior accessories problems,Seat Adjustment Doesn't Work,Pilot,Automatic transmission,"125,000 miles","The plastic cover surrounding the driver's side power seat adjustment levers became loose and began to snag on things. The controls still worked for several months despite the loose cover, but eventually stopped working. Fortunately it is stuck in a position that fits me and I'm the only usual driver. I cannot find any loose connections (just the loose cover). It may be that this problem could be fixed by replacing a fuse, but I haven't tried yet.				- Melissa R.,				FRONT ROYAL, VA, US"
45,Honda,Pilot,2003,interior accessories problems,Dashboard Makes Rattling Noise,Pilot EX 3.5L V6,Automatic transmission,"28,000 miles"," Rattle/buzz in center of dash, starts after vehicle is driven for about 45 minutes. Fairly new car, looks stupid with pieces of cardboard jammed in dash to stop noise.				- Paul M.,				New Boston, MI, US"
46,Honda,Pilot,2003,interior accessories problems,Electrical Port Outlets Broken,Pilot LX V6,Automatic transmission,"90,000 miles"," The main wire in the electrical outlet ports had broken, now the only port that I can charge my cell phone in, is the one in the dashboard. All the other ports in the vehicle do not work.This car is made from cheap components. I did a lot of research before purchasing this brand new 2003 Honda Pilot. Consumer Reports gave it a High Rating. I will never trust that company again. I will ask friends and family which vehicle they find reliable, well-built and safe.				- pilot error,				Exeter, NH, US"
47,Honda,Pilot,2003,interior accessories problems,Folding Rear Seat Breaks The Carpeted Area,Pilot LX V6,Automatic transmission,52 miles," For a brand new vehicle, I did not expect the level of finish to be so poor as to have the rear seat fold up "" carpeted area"" bend, buckle and break with only 52 miles on the car.				- pilot error,				Exeter, NH, US"
48,Honda,Pilot,2003,interior accessories problems,Gear Shift Sticks,Pilot EX-L 3.2L,Automatic transmission,"180,198 miles"," I AM LOOKING FOR A SOLUTION FROM ANYONE WHO HAS EXPERIENCED A SIMILAR CONDITION WITH THEIR PILOT.				- Lloyd N.,				Ottawa, ON, Canada"
49,Honda,Pilot,2003,interior accessories problems,Glove Box Lock Falls Out,Pilot LX V6,Automatic transmission,"121,000 miles"," Hope I never have to get my insurance and car documents out in a hurry ~ because the glove box has two modes: Locked completely, or falls out onto the floor mat, leaving the glove box gaping open dangerously. What a heap of junk on wheels :O(				- pilot error,				Exeter, NH, US"
50,Honda,Pilot,2003,interior accessories problems,Head Rests Cannot Be Adjusted,Pilot EX 3.2L V6,Automatic transmission,"80,000 miles"," The headrests on the 2003 Pilot cannot be adjusted to meet the back of the driver's or passengers' heads. I got rear-ended over a year ago in what should have been a minor accident. Instead, I have suffered continual neck problems and have had to use pain medication and to seek physical therapy as well as consultations with doctors. Honda should recall this car and fix this problem - most cars have movable headrests and you can adjust them to provide adequate protection from whiplash. In addition, the seats are concave and the driver is forced to sit pitched forward in the seat since your back sinks into the seat back; this exacerbates the danger to the driver's neck in the event of rear end collisions.				- Andrew W.,				Gaithersburg, MD, US"
51,Honda,Pilot,2003,interior accessories problems,Horn Sounds When Hitting Bumps,Pilot EX V6,Automatic transmission,"135,000 miles"," The wiring in the steering column rubs as you turn and will wear out. This causes wires to touch and it sets off the horn as you go over bumps while turning. To fix it you must replace the clock spring system $320.00				- 03tolip,				Minneapolis, MN, US"
52,Honda,Pilot,2003,interior accessories problems,Key Stuck In Ignition,Pilot 3.2L V6,Automatic transmission,"120,000 miles"," Honda knows about this problem, and yet has turned their backs on loyal Honda owners who now have to pay for replacing the ENTIRE ignition themselves. This should have been a recall. next car will be Nissan.				- Annie L.,				Glenside, PA, US"
53,Honda,Pilot,2003,interior accessories problems,Light Switch To Headlights Failed,Pilot EX-L V6,Automatic transmission,"78,653 miles"," I had just taken the car in for a transmission replacement, and had told them about the lights, which they conveniently forgot to check. My warranty had expired 12/31/09, so I was a month too late. What a pain in the butt!				- Dominique R.,				Santa Rosa, CA, US"
54,Honda,Pilot,2003,interior accessories problems,Middle Seat Won't Recline,Pilot EX 3.2L,Automatic transmission,"100,000 miles"," click to see larger imagesThe plastic latch to my 2013 middle seat recliner is broke. You can see in the photo the two connection areas have torn, causing the cables to fall out both sides. The other plastic piece is also broke, one of the glides snapped off. Very upsetting because the Dealer quoted me $500 to fix, or I can do it myself but I need to buy the entire system for $236 plus tax. I don't need to replace the whole system, nor would I want to anyway. There is a lot of tedious work to fixing this. It is absolutely ridiculous to not sell the lever separately and force the customer to spend $236-$500 and buy the whole cabling system, just to replace the small plastic part that is the product of Honda's bad design. No way that lever, that pulls metal cable, at a significant torque should be made of plastic! I don't have to be an engineer to see that. I have read this issue in many places on line so I'm not the only one. Now I cant use the vehicle's cargo compartment like planned.Update from Jan 28, 2013: Instead of paying the $236 for the part or $500 to have the Dealer fix it, I decided to fix it myself.  I glued and bolted a thin piece of metal I snipped to shape from a scrap metal 2x2 to the outside surface then redrilled the hole and channel for the cable to lock in place.  All works just fine and since the metal cable is now in contact with metal, not plastic, I dont anticipate the same problem to happen again.  So far so good anyway.   				- mmoyer,				Cleveland, OH, US"
55,Honda,Pilot,2003,interior accessories problems,Panel Control Lights Are Burned Out,Pilot EX 3.2L V6,Manual transmission,"110,000 miles"," Many of the panel control lights are burned out and the remaining ones are dimming. I tried to replace any burned out fuses, but they all seem to be in working order. It's annoying, especially when driving at night, to see half of the panel lights out. Luckily, I know what many of the buttons do and don't really need the lights, but it makes the car look raggedy, and not well-cared for. For it being a 2003, it still looks good, and runs well, but when other people get into the car, I feel a little embarrassed. I don't want to pay a mechanic for what should seem like an easy fix. It's bad enough I have to give up my car for a whole day to have the brights repaired.				- rjsca,				Coalinga,, CA, US"
56,Honda,Pilot,2003,interior accessories problems,Plastic Handle On Headrest Storage Area Broke,Pilot LX V6,Automatic transmission,"1,000 miles"," The interior plastics of the 2003 Honda Pilot are horrible. Are they made from recycled soda bottles ?? The air conditioning vents in the dashboard also snapped and cracked, as well as the plastic handles in the rear headrest storage compartment.				- pilot error,				Exeter, NH, US"
57,Honda,Pilot,2003,interior accessories problems,Radio Burning,Pilot,Automatic transmission,"157,000 miles"," Driving down the road when passenger speaker made loud noise then smoke and smell of electrical fire came through CD deck. Turned off radio and plan to replace it.				- Sheryl A.,				Ooltewah, TN, US"
58,Honda,Pilot,2003,interior accessories problems,Seat Mounting Bracket Broken,Pilot LX,Automatic transmission,"290,000 miles"," I have owned this car since it was brand new, and have always been most happy with Honda's quality... This is a very serious oversight on the part of Honda, and could cause a disastrous loss of life and limb! There have been NO fixes, NO recalls, nor the taking of any responsibility for faulty parts on a critical component installed in a Honda Pilot, and this could potentially be a catastrophic incident if it ever happens in a crash! I have been searching and searching for a fix, without success! This is TOTALLY uncharacteristic of Honda and needs an immediate solution, WITHOUT having to buy a completely new seat!! This is a ten dollar part, at the most, so where can I get one? The seat is a disaster waiting to happen without an immediate fix... Maybe it is time for a Class Action Lawsuit!!! Or they can provide an immediate availability of a replacement mounting plate, NOT an entire new seat assembly!!!				- Steven A.,				Yelm, WA, US"
