,Vehicle,Model,Model Year,Problem,Sub Problem,description,fail date
13,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"When the vehicle is in motion and I have to press down on the gas to accelerate/ speed up the vehicle quickly the driver seat bounces backwards/moves and it feels like its going to come off the frame its mounted to like some bolts may be broke or something. The car locks are messed up. The both front door locks have to be unlocked with a key. The inside unlock mechanism only unlocks the driver side passenger door and the trunk. In order to unlock the passenger front and the passenger rear locks a window has to be rolled down and you have to reach in and manually unlock it and those also have to be manually locked back when you exit the vehicle. Also, the passenger air unit does work. It does not blow out air even with the rear control on. The inside car lights have to be manually cut on and off and not set to come on when the door opens and closes because it runs the battery down. Sometimes while driving the headlights flicker. And the power port to charge phones, etc. Works but anything plugged into it gets hot real fast. All that points to electrical issues. The air bag lights kept coming on and going off. The transmission light has been flashing d and did not stop until fluid and filter was changed. So far that seems to have helped. And last but not least, the contacts in the ignition switch act defected. The key has to remain in the ignition switch and the spare key has to be used to unlock the car because if the key is removed, it does not want to go back into the switch to crank the car. The switch does not want to accept the key and turn to crank the engine once it has been removed from the switch. Even trying to turn the steering wheel and pressing the brake to release the switch doesn't work. And the gear shift stick/shaft acts almost like it's not park, but it was put in park.",  06/20/2016
14,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,Had to replace water pump and belt payed for it at homda dealer then noticed it had a recall on it dealership didnt notify me of the recall. Now I'm having problems with the transmition dealership said they couldn't find the problem but it also has a recall. But when I searched my VIN it said no recalls were found. The transmition periodically comes out of gear if I stop quickly or 1st thing in the morning or if I go over a speed bump slowly or sometimes randomly in the middle of driving in traffic. I can switch it into 1st 2nd or 3rd and get it moving again. It hasn't happend at high speeds yet. And the the metal under the seats is all rusted. At this rate the transmition will cause me to have an accident and the seats will come off and the airbags that have also been recalled will kill us im highly dissapointed in this vehicle.,  06/08/2016
15,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"Tl- the contact owns a 2003 Honda Pilot. The contact stated that the vehicle independently decelerated while driving the vehicle. The contact stated that the abs warning indicator illuminated. The vehicle was taken to the independent mechanic where it was diagnosed the failure was two front wheel speed sensor replaced. The vehicle was towed to the dealer where it was confirmed that the vehicles two front wheel speed sensors and the automatic transmission needed to be replaced. The vehicle was not repaired. The contact referenced NHTSA campaign: 04v176000(power train) however the vehicle's VIN was not included. The manufacturer was notified of the failure. The vehicle failure mileage was approximately 195,000. Kh.",  03/22/2016
16,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"Tl-the contact owns a 2003 Honda Pilot. The contact stated that while attempting to accelerate from a stop, the accelerator pedal was depressed but the vehicle failed to accelerate. The failure recurred on numerous occasions. The vehicle was taken to a dealer who diagnosed that the transmission needed to be replaced. The vehicle was not repaired. The manufacturer was notified of the failure. The vehicle was previously repaired under NHTSA campaign number: 04v176000 (power train). The failure mileage was 185,000. Oo.",  03/05/2016
17,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"Transmission was included in recall but we were never notified. Experienced catastrophic failure at 168,000 miles. Lost power on the freeway going 65 mph with no warning. Honda refusing to replace transmission because of the age and mileage of my car, despite the known defect in the transmission.",  11/24/2015
18,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"Tl-the contact owns a 2003 Chevrolet Pilot. The contact stated that while driving at approximately 30 mph, the gas pedal was depressed and the engine stalled. The check engine warning indicator was illuminated several times. The vehicle was able to restart. The vehicle was taken to a dealer where it was diagnosed that the transmission needed to be replaced. The manufacturer was made aware of the failure. The failure mileage was 128,000. Jw.",  06/08/2015
19,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"On may 26, 2015, I was traveling north on I-5 at 60 mph when the wheels of my car seized. At which point the car began a rigorous slide, black smoke billowed as the tread of my tires peeled off. The force of the slide eventually jammed the tires sideways causing the car to hop as it propelled forward, finally coming to a stop about a mile from the starting point. Needless to say it was a horrific ride, which still causes me some stress. The car was towed to bill's tech trans where they informed me that the transmission was faulty. Bill's sent the faulty transmission to the maker. At that time I was unaware of the recall on Honda Pilot 2003 transmissions. After hearing of the recall a couple of months later, I informed american Honda of my incident. They requested receipts pertaining to the incident which I provided in full 3 times. One of the four customer service representatives had lost some or all of the paperwork that I had sent. It has been a year and a half of dealing with american Honda and they continue to put me off, even closing the claim at one point; they sent a letter which stated, ""we have attempted to contact you in regards to your request, but have not been successful in reaching you. "" I called immediately and they informed me they had closed the claim due to my lack of responding to their phone calls. I told them that both my home phone and cell phone keep logs of who calls and that they are not on either one. American Honda reopened the case. Since then I have been rebuffed repeatedly. About a month ago I was told someone was reviewing the case for possible reimbursement and have heard nothing since. It seems as if they do not want to honor the recall on the 2003 Honda Pilot transmission. Is there anything you can do to help? american Honda recall case no. 04263486.",  05/26/2015
20,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,My Honda Pilot shutters at 25-50 mph I had it check with my local dealer Honda and it seems like its coming from transmission issue's.,  09/01/2014
21,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"The contact owns a 2003 Honda Pilot. While driving approximately 60 mph, the contact downshifted and the vehicle automatically shifted back into gear. The failure occurred twice. The dealer stated that the transmission needed to be replaced. The vehicle was not repaired and the manufacturer was notified. The approximate failure mileage was 142,000.",  07/20/2014
22,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"My Honda Pilot starts slipping when it changes from 3rd gear to 4 gear. Now it starts shaking/jugging. With speed 60mph or 65 mph, it is very dangerous if it starts jugging because you never know how the car behind you reacts and your car will do.",  10/05/2013
23,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"We purchased our 2003 Honda Pilot ex-l new at danbury Honda on February 20, 2003. We have had ongoing issues with the ""d"" or drive light flashing intermittently since the car was new and had it checked at the dealer each time, with a report back that there was nothing wrong and it would go away. The dealer has done almost all of the preventative maintenance to our vehicle and we also do proactive care to our vehicle. Most recently we spent a good amount of money on repairs to the transmission through Honda dealerships in delray beach, florida (disaster there) and danbury, CT. We are now being told we need a new transmission, only months after putting a lot of money into the car. Had we known we would be spending this kind of money (about $5k), we would have traded the car in. However, we are now caught in a financial burden with having to put a new transmission in the 2003 Pilot, which we think should be part of a recall based upon all the on-line research we've done. Can anyone please assist?.",  07/22/2013
24,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"Tl - the contact owns a 2003 Honda Pilot. The contact stated that the check engine warning light was illuminated. The vehicle was taken to the dealer where it was diagnosed that the transmission needed to be replaced. The contact stated that the vehicle was repaired under NHTSA campaign number: 04v176000 (power train) but the failure recurred. The manufacturer was made aware of the failure. The approximate failure and current mileage was 113,805. Kmj.",  04/24/2013
25,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"We bought a 2003 Honda Pilot in 2006. 3 months ago we found out it had been recalled in 2004 for the powertrain. That apparently was fixed at that time. In April, we had an issue with the rpms showing 3000 while we were driving only 35 mph. We took it to the dealer who informed us that the powertrain needed to be replaced. This cost us over $6,000 to replace including over $700 to lease a car. American Honda said that the warranty had run out and that it was a high mileage vehicle and they would not cover the cost of the repair. Our question is why would the powertrain have to be replaced a second time within a 9 year period. The 109,000 miles on the vehicle is within if not lower than the national average. Granted, a 10 year old vehicle will probably not still be under warranty. However, if the powertrain was fixed under the recall in 2004, should it need to be replaced again?.",  04/12/2013
26,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"While driving at 40-45 mph with shift lever in ""d"" the vehicle began to shift down a gear very hard and then back into the previous gear. It does this repeatedly. Was told by a Honda dealer repair shop that the transmission needs to be replaced. The car has been well maintained. The transmission on a vehicle like this with 160k miles should not be failing.",  03/30/2013
27,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,I parked my car outside a local store with a nearly zero decline. After entering the store and beginning to shop - a fellow shopper came in to tell me that my car had rolled backwards and hit another vehicle. Luckily there was no major damage to either vehicle. When I entered my vehicle the gear shift was in fact in park but the car had rolled back anyways and stopped only because it hit another vehicle in the parking lot.,  01/17/2013
28,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"Sudden downshifting and shuddering, check engine light came on and difficulty in shifting. Engine light remained on and occasional shifting problems for a few weeks until checked by dealer - po740 and po730 needs transmission replacement and engine mount. Same problem as a 100 of others. Original owner fully dealer maintained for 10+ years, even with fairly high miles well maintained transmission should not fail. Honda dealer quoted $5500 for Honda rebuilt transmission with no mention of any assistance or of the well known and frequent occurence of this issue. A definite safety issue as simple luck this didn't occur on the highway at greater speed in high traffic I frequently drive.",  01/15/2013
29,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"Owner driver was stopped on red light along with 20 other cars , the driver was last in the lane and other driver di not applied brakes, this vehicle was banged from the back. Body damage was repaired by westminster Honda in costa mesa . California, body repair cost of $ 3,500 was paid by insurance company of the person who was at fault, the auto transmission replacement cost of $ 6,500 was recovered from the me who was not at fault. The question is at that time the air bag was not deployed because of fault? after that I got recall notice from american Honda for two air bags driver side and passenger side, the notice came in the month of January 2015, first they delayed the repair task by making an excuse that they are very busy and first appointment is available on February 28 th at auto nation Honda in gilbert az then I got an e mail and a call from dealer that the parts are on back order, and they would not know when part will be available. After that I called american Honda, they have intervened and assured me that auto nation Honda will call me to schedule appointment again. Then I gave 4 - 5 calls to auto nation Honda, till today as of April 19th this repair is not fixed even though all parties know that this is critical to the life of drivers and passengers in this vehicle. Now I am in round rock texas, so I will need to see new dealer will somebody control these auto companies and dealer for compliance? thanks.",  12/18/2012
30,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"The contact owns a 2003 Honda Pilot. While parked, the contact noticed that the vehicle began to roll backward. The contact was able to enter the vehicle, place her foot on the brake pedal and shift the vehicle into park. The contact noticed that she had removed the key from the ignition prior to shifting into park. The vehicle was not repaired. The approximate failure mileage was 150,000.",  10/26/2012
31,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"I recently bought a used 2003 Honda Pilot from [xxx] of colerain in ohio. The car has 137,000 approximate miles on it. They wanted me to pay over 15,000 for the car and finally after debating for hours over 4. They sold me the car out the door with no warranty offered for 10,500. I was very happy and I have 2 children and one on the way. I bought the car on August 5, 2012 less than two week go by and I am driving home going 65mph on 71 and the car jerks down gears to 30 miles an hour in a split second. My neck and my back are both hurting and I do not want to sue nor try to get rich off of this. My complaint is, I took the car to[xxx] of colerain the next morning they said the transmission was bad and they could do nothing for me. So basically they said I will have to pay for a $7,000 dollar repair. I left the car there and came home did all kinds of research found that car is up for recall on the transmission and thousands of people have the same issue. They even have a facebook page dedicated to fixing this problem! how can Honda keep these vehicle's on the road? if my 17 month old would have been in the car with me she would have maybe broke her neck. Go drive 65mph and throw the car in reverse that is what happened to me! and they said I bought a certified used Honda? so what do I do ? who do I call? and why can they sell me a car in such a state? with over 4 recalls on parts and one being potentially fatal. Information redacted pursuant to the freedom of information act (foia), 5 u. S. C. 552(b)(6).",  08/17/2012
32,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"Have had this vehicle since new. Had the 2nd gear recall done as required at about 30,000. At 96,000 that tranny went out and had a ""rebuilt"" installed by sunset Honda slo, CA. Under warranty. At about 150000, d indicator flashed meaning sensors on tranny needed replacement. Now experiencing loss of drive, sometimes when coming out of stop, engine just revving but no drive, also, as happened to my wife yesterday, when going at about 35, loss of power/drive occurred. This could show that I need an actual decent new tranny put in! I have yet to visit my well qualified and non Honda dealer mechanic! I have been a Honda owner since 1992 and this will be my last Honda ever! the reliability is over with and they are way overpriced.",  07/17/2012
33,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"The contact owns a 2003 Honda Pilot. The contact stated that while driving 55 mph, the transmission would not shift into any gear. The vehicle was taken previously to the dealer in 2004 for a recall repair under the NHTSA campaign id number: 04v176000 (power train: automatic transmission). The vehicle was not taken to the dealer for this most recent failure. The manufacturer was not notified. The failure mileage was 220,000.",  06/18/2012
34,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"Shuddering and jerking while shifting from 2nd to 3rd gear. Also does the same in reverse. Car would not accelerate on highway on-ramp. While at high highway speeds, car felt like it fell out of gear and lost power, until the gear engaged again.",  06/04/2012
35,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,Recall notice from Honda.,  03/26/2021
36,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,"My 2003 Honda Pilot has ""srs light on"" at the vehicle dashboard. I was driving in our residential subdivision area and about to park in my driveway, the srs went on. I am not driving this vehicle now until this fault has to be fixed immediately. If there is a fault with the installed air bag, please help me to cover the repair/replacement costs of this faulty airbag. Thank you.",  09/09/2020
37,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,Aviso urgente DE seguridad por inflador defectuoso DE bolsas DE aire.,  03/05/2020
38,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,The gear shifter will not gauge is stuck in one position.,  11/04/2019
39,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,"The contact owns a 2003 Honda Pilot. The contact received notification of NHTSA campaign number: 19v501000 (air bags) however, the part to do the recall repair was unavailable. The local dealer was contacted, and it was confirmed that the part was not yet available. The contact stated that the manufacturer had exceeded a reasonable amount of time for the recall repair. The manufacturer was made aware of the issue. The contact had not experienced a failure. Parts distribution disconnect.",  06/01/2019
40,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,Transmission slips engine light does not come on was told transmission is separate so itdoes not show up because the light does not come it does not show up on the computer does not happen all the time so it can and does when driving it goes into neutrol.,  02/09/2019
41,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,"2003 Honda Pilot. Consumer writes in regards to airbag safety recall. The consumer stated the vehicle was traded in, in 2011.",  09/19/2018
42,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,I wants to know if my because is on the recall list.,  02/20/2018
43,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,03 Honda Pilot transmission is slipping in between gears talked to Honda dont want to take care of problem even wen they hav recall on it ive seen hundreds of same exact issue all over internet with exact same problem and Honda is still trying to charge fior there own recall.,  02/06/2018
44,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,This is a follow up of a complaint file last year- NHTSA id number: 11045405. I took my vehicle to a Honda dealer as required by american Honda. They confirmed that the opds module was faulty. I continued to contact american Honda by mail. They advised that me that I would have to pay $775. 00 deductible for the replacement of the defective opds module verbally as they would not correspond to me in any written form.,  10/16/2017
45,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,"Tl the contact owns a 2003 Honda Pilot. The contact received a recall notice for NHTSA campaign number: 19v501000 (air bags). The contact stated that the manufacturer exceeded a reasonable amount of time for the recall repair. The contact called landmark Honda (5125 duke st, alexandria, va 22304, (703) 823-8000) and was informed about diagnostic testing. The vehicle was not diagnosed or repaired. The contact declined the repairs due to the fee. The manufacturer was not contacted. The failure mileage was 107,000. Parts distribution disconnect.",  08/01/2017
46,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,"When I driving 95 n going to connecticut there's a huge smoke on the hood and the other motorist behind me, he saw a lot of oil dripping on the street and he gave me a honk. I parked the car beside the highway and I opened the hood remove the negative battery to avoid the fire.",  05/26/2017
47,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,"Vehicle driver side hit side of mountain causing it to go down hill on passenger side. Rolled over three times. No air bags deployed. Person sitting in passenger seat received a scalp injury, but no loss of consciousness. Vehicle was on a dirt road and was traveling between 20 and 25 mph.",  07/04/2016
48,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,Takata recall.,  04/08/2016
49,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,I never got recalls fixed and dealer service marked as checked but not replaced and srs light has been on since service and I had to pay to get recalled due to emergency interlock was damaged.,  11/25/2015
50,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,"Tl-the contact owns a 2003 Honda Pilot. The contact stated that the vehicle battery died and it caused the air bags to cut off. The vehicle was not repaired. The manufacturer was not made aware of the issue. The failure mileage was 149,000. Ad.",  10/25/2015
51,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,"Takata recall. The contact owns a 2003 Honda Pilot. The contact received a notice for NHTSA campaign numbers: 15v370000 and 15v320000 (air bags); however, the parts needed were not available. The contact believed that the manufacturer exceeded a reasonable amount of time to provide the recall repairs. The dealer and manufacturer were made aware of the delay. The contact had not experienced a failure. VIN tool confirms parts not available.",  07/08/2015
52,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,Tl-the contact owns a 2003 Honda Pilot. The contact received a recall notification for NHTSA campaign id number: 15v320000 (air bags) and stated that the part needed was unavailable to perform the recall repair. The manufacturer was notified of the issue. The contact had not experience a failure. Bp.,  07/06/2015
53,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,"Tl- the contact owns a a 2003 Honda Pilot. The contact received notification of NHTSA campaign id numbers: 15v320000 (air bags), 14v700000 (air bags), 12v573000 (electrical sysytem) and 12v136000 (exterior lighting) however, the part to do the repairs were unavailable. The contact stated that the manufacturer exceeded a reasonable amount of time for the recall repair. The manufacturer was made aware of the issue. The contact had not experienced a failure. Fe.",  05/28/2015
54,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,"I was involved in an auto accident. When I came to the inside of the car was smoking. The air bags were deployed and I had a three inch burned hole in my left arm. Now I have a permanent scar because of the airbag. I have pictures, police report and hospital reports.",  05/05/2015
55,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,"Tl-the contact owns a 2003 Honda Pilot. The contact received notification of NHTSA campaign numbers: 14v349000 ( air bags) and 14v351000 (air bags) however, the parts needed to repair the vehicle were unavailable. The contact stated that the manufacturer exceeded a reasonable amount of time for the recall repair. The manufacturer was not made aware of the issue. The contact had not experienced a failure. Oo.",  04/30/2015
56,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,"Tl-the contact owns a 2003 Honda Pilot. The contact received notification of NHTSA campaign number: 14v351000 (air bags ) however, the part needed to repair the vehicle was unavailable. The contact stated that the manufacturer exceeded a reasonable amount of time for the recall repair. The manufacturer was not notified of the issue. The contact had not experienced a failure. Oo.",  04/24/2015
57,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,"Tl-the contact owns a 2003 Honda Pilot. The contact received notification of NHTSA campaign numbers: 14v700000 (air bags) and 14v351000 (air bags) however, the parts needed to do the repairs were unavailable. The contact stated that the manufacturer exceeded a reasonable amount of time for the recall repairs. The manufacturer was not made aware of the issue. The contact had not experienced a failure. Pam.",  04/16/2015
58,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,"The contact owns a 2003 Honda Pilot. The contact received notification of NHTSA campaign numbers: 14v351000 (air bags) and 14v349000 (air bags); however, the part needed to do the repairs was unavailable. The contact stated that the manufacturer exceeded a reasonable amount of time for the recall repairs. The manufacturer was not made aware of the issue. The contact had not experienced a failure. The VIN was unavailable.",  04/15/2015
59,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,"The contact owns a 2003 Honda Pilot. The contact received a notice for NHTSA campaign number: 14v700000 (air bags); however, the parts needed to do the repair were not available. The dealer stated that they only had one part to do the repair. The contact believed that the manufacturer exceeded a reasonable amount of time for the repair. The contact had not experienced a failure.",  04/14/2015
60,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,"The contact owns a 2003 Honda Pilot. The contact received a recall notification of NHTSA campaign number: 14v351000 (air bag, exterior lighting, electrical system) however, the part to do the repair was unavailable. The contact stated that the manufacturer exceeded a reasonable amount of time for the recall repair. The manufacturer was made aware of the issue. The contact had not experienced a failure.",  04/06/2015
61,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,"I received two recall notices relating to airbags in January and contacted my dealer immediately. I am still waiting for Honda to provide airbags for the driver & passenger sides. The dealer has been told they are ""on backorder"" - I have verified this information with other dealers. Honda needs to make these replacements a priority it has been 4 months and they won't provide the replacements in the meantime we are at risk!.",  04/03/2015
62,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,"Tl-the contact owns a 2003 Honda Pilot. The contact received notification of NHTSA campaign number: 14v351000 (air bags) however, the part needed to repair the vehicle was unavailable. The contact stated that the manufacturer exceeded a reasonable amount of time for the recall repair. The manufacturer was not notified of the failure. The contact had not experienced a failure. Oo.",  03/27/2015
63,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,"Received a national recall letter for airbags. Called bill pearce Honda and was told I have to wait four months for the part becaus it is on "" back order. "".",  03/24/2015
64,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,Tl-the contact owns a 2003 Honda Pilot. The contact received notification of NHTSA campaign number: 14v351000 (air bags) however the part to do the repair was unavailable. The contact stated that the manufacturer exceeded a resonable amount of time for the recall repair. The manufacturer was made aware of the issue. The contact had not experienced the failure. Sr.,  03/19/2015
65,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,"The contact owns a 2003 Honda Pilot. The contact received notification of NHTSA campaign numbers: 14v351000 (air bags) and 14v349000 (air bags); however, the parts needed to do the repairs were unavailable. The contact stated that the manufacturer exceeded a reasonable amount of time for the recall repairs. The manufacturer was made aware of the issue. The contact had not experienced a failure.",  03/16/2015
66,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,The contact owns a 2003 Honda Pilot. The contact received notification of NHTSA campaign numbers: 14v349000 (air bags) and 14v351000 (air bags) and stated that the part for the repair was not available within a reasonable timeframe. The dealer did not give a specific date for when the part would become available. The manufacturer was contacted and could not provide an estimated date for when the contact's vehicle would receive the recall repair. The contact had not experienced a failure.,  03/05/2015
67,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,The contact owns a 2003 Honda Pilot. The contact received a notification for NHTSA campaign id numbers: 14v351000 (air bags) and 14v349000 (air bags). The contact stated that the parts needed were unavailable to repair the vehicle. The dealer was unable to inform when the part would become available. The manufacturer was not notified of the issue. The contact had not experienced a failure.,  03/03/2015
68,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,"The contact owns a 2003 Honda Pilot. The contact received notifications for NHTSA campaign numbers: 14v351000 (air bags) and 14v349000 (air bags) in March of 2015. After contacting the dealer and the manufacturer on multiple occasions, the contact was informed that the parts needed to repair the vehicle were still not available and no estimated time for receiving the parts could be provided. The contact had not experienced a failure.",  03/02/2015
69,Honda,Pilot,2003 Pilot,Air Bag,Air Bag problems,"I received a recall letter from american Honda motor CO. Back in January of this year. The letter stated that my car was being recalled for faulty air bags. Contacted the closest dealer ship as instructed in the letter; was told at that time it would take 2 weeks to get the parts in. When I contacted the dealership after the 2 week wait, I was informed that the parts where on back order and I would have to wait my turn. Contacted american Honda over this and was told that parts could be re-routed to solve my problem. Was contacted by american Honda and was told parts where on back order, and that they should only take another few weeks. Its now the end of March, the beginning of April, and I'm still waiting for said parts that where only suppose to take 2 weeks to receive. Every time I contact the dealership or american Honda all I'm getting is the same old dance around about parts, and several times the people have been rude telling me to just wait. Honda case # n032015-02-1300761.",  03/01/2015
70,Honda,Pilot,2003 Pilot,Electrical System,Electrical System problems,Keep getting misfires had mechanic replace coils & plugs but still getting obd codes for misfires of cylinders why ?? also keeps jerking & I nor a mechanic do not know why.,  01/01/2022
71,Honda,Pilot,2003 Pilot,Electrical System,Electrical System problems,"Honda Pilot 2003 cranked up started driving, after a min or two it shut off and wouldn't crank back up. I've replaced the main relay and a new fuel pump but when you put the key in and try to start it, it doesn't turn over all the way. It wants to but won't. Also more electrical issues along with radio and head lights. Something is terribly wrong and ive put alot of money into trying to find out what it is and have been guaranteed that part will fix it but no luck. New parts help but not with turning over and starting.",  12/15/2019
72,Honda,Pilot,2003 Pilot,Electrical System,Electrical System problems,Vehicle had a lack of computer function would not start. All dash lights lite ignition non functional when test plug put on obd plug all problems cleared vehicle now operates correctly vehicle had just passed state inspection and operated correctly for 3days.,  12/01/2019
