,code,topic,description,possible_cause,Diagnostic
12,P0068 , Manifold Absolute Pressure (MAP)/Mass Air Flow (MAF) ,"  The powertrain control module (PCM) monitors a vehicle operation rationality check by  comparing sensed throttle position to mass air flow readings. If during a key on engine  running (KOER) self-test, the comparison of the throttle position (TP) sensor and MAF  sensor readings are not consistent with the calibrated load values, the test fails and a  DTC is stored in continuous memory.","[' Air leak between MAF sensor and throttle body ', ' TP sensor not seated properly', ' Damaged TP sensor', ' Damaged MAF sensor']","Diagnose any MAP, MAF, or TP circuit DTCs first. Drive the vehicle and exercise the throttle and the TP sensor in all gears. A TP PID less than 4.82% (0.24 volt) with a LOAD PID greater than 55%, or a TP PID greater than 49.05% (2.44 volts) with a LOAD PID less than 30% indicates a concern is present."
13,P0097 ," Intake Air Temperature Sensor 2 Circuit Low
", Indicates the sensor signal is less than the self-test minimum. The intake air temperature 2 (IAT2) sensor minimum is 0.2 volt.,"[' Grounded circuit in the harness ', ' Incorrect harness connection', ' Damaged sensor']","Monitor the IAT2 PID value. A typical IAT2 temperature should be greater than the IAT1 temperature. Refer to Section 6 , Reference Values."
14,P0098 ," Intake Air Temperature Sensor 2 Circuit High
",Indicates the sensor signal is greater than the self-test maximum. The intake airtemperature 2 (IAT2) sensor maximum is 4.6 volts.,"[' Open circuit in the harness ', ' Sensor signal short to voltage', ' Incorrect harness connection', ' Damaged sensor']","Monitor the IAT2 PID value. A typical IAT2 temperature should be greater than the IAT1 temperature. Refer to Section 6 , Reference Values."
15,P0102 ," Mass or Volume Air Flow A Circuit Low
"," The mass air flow (MAF) sensor circuit is monitored by the powertrain control module (PCM) for low air flow (or voltage) input through the comprehensive component monitor (CCM). If during key on, engine running (KOER) the air flow (or voltage) changes below a minimum calibrated limit, the test fails.","[' MAF sensor disconnected ', ' MAF circuit open to PCM', ' VPWR open to MAF sensor', ' PWR GND open to the MAF sensor', ' MAF RTN circuit open to PCM', ' MAF circuit shorted to GND', ' Intake air leak (near the MAF sensor)', ' A closed throttle indication (throttle position [TP] sensor system)', ' Damaged MAF sensor']", A MAF V PID reading less than 0.23 volt in continuous memory or KOER indicates a hardfault.
16,P0103 ," Mass or Volume Air Flow A Circuit High
"," The mass air flow (MAF) sensor circuit is monitored by the powertrain control module (PCM) for high air flow (or voltage) input through the comprehensive component monitor (CCM). If during key on, engine off (KOEO), or key on, engine running (KOER), the air flow (or voltage) changes above a maximum calibrated limit, the test fails.","['MAF sensor screen is blocked ', 'MAF circuit shorted to voltage', 'Damaged MAF sensor']", A MAF V PID (MAF PID) reading greater than 4.6 volts during KOER indicates a hard fault.
17,P0104 ," Mass or Volume Air Flow A Circuit Intermittent/Erratic
","A concern exists in the mass air flow (MAF) sensor A circuit, or the air tube containing thesensor, causing an incorrect air flow reading.","['Intermittent circuit A open or short ', 'Air leaks in the tube from the MAF to the throttle body']",Verify the integrity of the MAF sensor circuit A for an intermittent concern. Check the MAF sensor tube for air leaks.
18,P0106 ," Manifold Absolute Pressure (MAP/BARO) Sensor Range/Performance
", MAP sensor input to the powertrain control module (PCM) is monitored and is not within the calibrated value.,"['Slow responding MAP sensor', 'Electrical circuit failure ', ' Damaged MAP sensor']", VREF voltage should be between 4.0 and 6.0 volts. The PID reading is in frequency.
19,P0107 ," Manifold Absolute Pressure (MAP)/Barometric Pressure (BARO) Sensor Low
",   MAP sensor operating voltage is below the minimum calibrated parameter of 0.25   volts.,"['Open in the circuit, or short to ground', 'VREF circuit open, or short to ground ', 'Damaged MAP sensor']",VREF should be greater than 4.0 volts. The PID reading is in frequency/volts.
20,P0108 ," Manifold Absolute Pressure (MAP)/Barometric Pressure (BARO) Sensor High
",Sensor operating voltage is greater than 5 volts (VREF). As a result it failed above themaximum allowable calibrated parameter.,"['VREF shorted to VPWR ', 'MAP signal shorted to VPWR', 'VREF should be less than 6.0 volts. The PID reading is in frequency/volts', 'Open circuit']",VREF should be greater than 4.0 volts. The PID reading is in frequency/volts.
21,P0109 ," Manifold Absolute Pressure (MAP)/Barometric Pressure (BARO) Sensor Intermittent
",   The sensor signal to the powertrain control module (PCM) is failing intermittently.,"[' Loose electrical connection ', ' Damaged MAP sensor']",Check the harness and connection.
22,P0111 ," Intake Air Temperature (IAT) Sensor 1 Circuit Range/Performance
","   Indicates the IAT rationality test has failed. This DTC indicates that the IAT value is higher   than a calibrated value and could prevent 1 or more on-board diagnostic (OBD) monitors   from completing.   The PCM runs this logic after an engine off and a calibrated soak period (typically 6 hours).   This soak period allows IAT and engine coolant temperature (CHT or ECT) to stabilize and   not differ by more than a calibrated value. DTC P0111 is set when:   the IAT at engine start exceeds the ECT or CHT by more than a calibrated value, typically   17Â°C (30Â°F).",['IAT Sensor'], Make sure the IAT and the CHT or ECT are similar when the engine is cold.
23,P0112 ," Intake Air Temperature (IAT) Sensor 1 Circuit Low
",Indicates the sensor signal is less than the self-test minimum. The IAT sensor minimumis 0.2 volt or 121Â°C (250Â°F).,"[' Grounded circuit in the harness', ' Damaged sensor ', ' Improper harness connection']",An IAT V PID reading less than 0.2 volt with key ON engine OFF or during any engine operating mode indicates a concern is present.
24,P0113 ," Intake Air Temperature (IAT) Sensor 1 Circuit High
",Indicates the sensor signal is greater than the self-test maximum. The IAT sensormaximum is 4.6 volts or -50Â°C (-58Â°F).,"['Open circuit in the harness ', 'Sensor signal short to voltage', 'Damaged sensor', 'Improper harness connection']",An IAT V PID reading greater than 4.6 volts with the key ON engine OFF or during any engine operating mode indicates a concern is present.
25,P0114 ," Intake Air Temperature (IAT) Sensor 1 Intermittent/Erratic
",Indicates the sensor signal was intermittent during the comprehensive componentmonitor (CCM).,"['Damaged harness ', 'Damaged sensor', 'Damaged harness connector']",Monitor the IAT on a scan tool. Look for sudden changes in the reading when the harness is wiggled or the sensor is tapped.
26,P0116 ," Engine Coolant Temperature (ECT) Sensor 1 Circuit Range/Performance
"," Indicates the engine coolant temperature rationality test has failed. This DTC indicates that the ECT or cylinder head temperature (CHT) value is higher than the calibrated value and could prevent 1 or more on-board diagnostic (OBD) monitors from completing. The PCM runs this logic after an engine off and a calibrated soak period (typically 6 hours). This soak period allows the intake air temperature (IAT) and the CHT or ECT to stabilize and not differ by more than a calibrated value. DTC P0116 is set when all of the following conditions are met: The ECT at engine start exceeds the IAT at engine start by more than a calibrated value, typically 17Â°C (30Â°F). The ECT exceeds a calibrated value, typically 107Â°C (225Â°F). The fuel system, heated oxygen and misfire monitors have not completed. The calibrated time to set DTC P0116 has expired.","['ECT or CHT sensor ', 'Coolant system concern']", Make sure the IAT and the ECT are similar when the engine is cold. Also make sure theECT or CHT sensor and the actual engine operating temperatures are the same.
27,P0117 ," Engine Coolant Temperature (ECT) Sensor 1 Circuit Low
",Indicates the sensor signal is less than the self-test minimum. The ECT sensor minimumis 0.2 volt or 121Â°C (250Â°F).,"[' Grounded circuit in the harness ', ' Damaged sensor', ' Incorrect harness connection']",A concern is present if an ECT V PID reading less than 0.2 volt with the key ON engine OFF or during any engine operating mode.
28,P0118 ," Engine Coolant Temperature (ECT) Sensor 1 Circuit High
",Indicates the sensor signal is greater than the self-test maximum. The ECT sensormaximum is 4.6 volts or -50Â°C (-58Â°F).,"[' Open circuit in the harness ', ' Sensor signal short to voltage', ' Improper harness connection', ' Damaged sensor']",An ECT V PID reading greater than 4.6 volts with the key ON engine OFF or during any engine operating mode indicates a concern is present.
29,P0119 ," Engine Coolant Temperature (ECT) Sensor 1 Circuit Intermittent/Erratic
"," Indicates the ECT circuit became intermittently open or shorted while the engine was running. On vehicles that are not equipped with an ECT sensor, the cylinder head temperature (CHT) sensor can be used and can set this DTC.","[' Damaged harness', ' Damaged sensor ', ' Damaged harness connector ', ' Low engine coolant']","Monitor the ECT or the CHT on a scan tool, look for sudden changes in the reading when the harness is wiggled or the sensor is tapped."
30,P0121 ," Throttle/Pedal Position Sensor A Circuit Range/Performance
For Vehicles With Electronic Throttle Control (ETC)
", The electronic throttle control (ETC) throttle position (TP) sensor 1 circuit was flagged as a concern by the powertrain control module (PCM) indicating an out of range in either the closed or wide open throttle (WOT) modes.,"[' Obstruction in the throttle plate movement', ' Damaged throttle body ', ' TP circuit open to PCM ', ' Damaged TP sensor ', ' SIG RTN circuit open to the TP sensor']","This concern exhibits a symptom of limited power. A TP1 PID reading less than 13% (0.65 volt), or greater than 93% (4.65 volts) in key ON, engine OFF or key ON, engine running indicates a concern is present.For All Others"
31,P0122 ," Throttle/Pedal Position Sensor A Circuit Low
For Vehicles With Electronic Throttle Control (ETC)
", The ETC throttle position (TP) sensor 1 circuit was flagged as a concern by the powertrain control module (PCM) indicating a low voltage or open circuit.,"[' Open ETC TP sensor harness', ' Short to ground in the ETC TP sensor harness', ' Damaged TP sensor', ' SIG RTN circuit open to the TP sensor']","This concern exhibits a symptom of limited power. A TP1 PID reading less than 3.42% (0.17 volt) in key ON, engine OFF or key ON, engine running indicates a concern is present.For All Others"
32,P0123 ," Throttle/Pedal Position Sensor A Circuit High
For Vehicles With Electronic Throttle Control (ETC)
",  The ETC throttle position (TP) sensor 1 circuit was flagged as a concern by the  powertrain control module (PCM) indicating a high voltage.,"[' TP sensor harness short to VREF', ' TP sensor harness is short to voltage', ' Damaged TP sensor', ' VREF circuit short to TP sensor']"," Drive the vehicle, bring it to a stop, and turn the key to the OFF position. Start thevehicle and carry out the key on engine running (KOER) self-test at idle. Access theKOER DTCs on the scan tool. The TP1 signal is normally at a high voltage at closedthrottle, and a lower voltage at wide open throttle (WOT) (opposite of TP2).For All Others"
33,P0125 ," Insufficient Coolant Temperature For Closed Loop Fuel Control
", Indicates the engine coolant temperature (ECT) or the cylinder heat temperature (CHT) sensor has not achieved the required temperature level to enter closed loop operating conditions within a specified amount of time after starting the engine.,"[' Insufficient warm up time', ' Low engine coolant level ', ' Leaking or stuck open thermostat ', ' Malfunctioning ECT sensor ', ' Malfunctioning CHT sensor']",Compare the thermostat specification to the actual ECT using the engine temperature PID (ECT or CHT). The temperature reading should be similar when the engine is at a normal operating temperature.
34,P0127 ," Intake Air Temperature (IAT) Too High
",Indicates that the IAT2 sensor has detected a concern in the charge air cooler CACsystem.,"['Blockage of heat exchangers ', 'Low fluid level', 'Fluid leakage', 'CAC pump or relay failure', 'Crossed CAC coolant lines']","Monitor the IAT2 PID. A typical IAT2 temperature should be greater than the IAT1 temperature. Refer to Section 6 , Reference Values for IAT values."
35,P0128 ," Coolant Thermostat (Coolant Temperature Below Thermostat Regulating Temperature)
",  Indicates that the thermostat monitor has not achieved the required engine  operating temperature within a specified amount of time after starting the engine.,"[' Insufficient warm up time ', ' Low engine coolant level ', ' Leaking or stuck open thermostat ', ' Inoperative engine coolant temperature (ECT) sensor ', ' Inoperative cylinder head temperature (CHT) sensor']","Refer to Section 1, Thermostat Monitor for system information."
36,P012B ," Turbocharger/Supercharger Inlet Pressure Sensor Circuit Range/Performance
", Manifold absolute pressure (MAP) sensor input to the powertrain control module (PCM) is monitored and is not within the calibrated value.,"[' Slow responding MAP sensor', ' Electrical circuit failure ', ' Damaged MAP sensor']", VREF voltage should be between 4.0 and 6.0 volts. The PID reading is in frequency.
37,P012C ," Turbocharger/Supercharger Inlet Pressure Sensor Circuit Low
",   MAP sensor operating voltage is below the minimum calibrated parameter of 0.25   volts.,"[' Open in the circuit, or short to ground', ' VREF circuit open, or short to ground ', ' Damaged MAP sensor']",VREF should be greater than 4.0 volts. The PID reading is in frequency/volts.
38,P012D ," Turbocharger/Supercharger Inlet Pressure Sensor Circuit High
",Manifold absolute pressure (MAP) sensor operating voltage is above the maximumcalibrated parameter of 5 volts.,"['VREF shorted to VPWR', 'MAP signal shorted to VPWR ', 'VREF short to voltage ', 'Open circuit']",VREF should be greater than 4.0 volts.
39,P012E ," Turbocharger/Supercharger Inlet Pressure Sensor Circuit Intermittent/Erratic
",   The sensor signal to the powertrain control module (PCM) is intermittent.,"[' Loose electrical connection ', ' Damaged manifold absolute pressure (MAP) sensor']",Check the harness and connection.
40,P0132 ," O2 Circuit High Voltage (Bank 1, Sensor 1)
",   The heated oxygen sensor (HO2S) signals are monitored for an over voltage condition.   The code is set when the HO2S signal voltage is 1.5 volts or greater.,[' Short to VPWR in the harness or HO2S'], An HO2S PID switching across 0.45 volt from 0.2 to 0.9 volt indicates a normal switchingHO2S. An HO2S PID voltage of 1.5 volts or greater indicates a short to voltage.
41,P0133 ," O2 Circuit Slow Response (Bank 1, Sensor 1)
",   The heated oxygen sensor (HO2S) monitor checks the HO2S frequency and amplitude.   The test fails if the frequency and amplitude fall below a calibrated limit during testing.,"[' Contaminated HO2S', ' Exhaust leaks ', ' Short/open wiring ', ' Incorrect fueling ', ' MAF sensor ', ' Deteriorating HO2S ', ' Inlet air leaks']", Access the HO2S test results from the generic OBD menu to verify the DTC.
42,P0135 ," O2 Heater Circuit (Bank 1, Sensor 1)
",   During testing the heated oxygen sensor (HO2S) heaters are checked for open and short   circuits and excessive current draw. The test fails when the current draw exceeds a   calibrated limit or an open or short circuit is detected.,"['Vacuum hose disconnected on exhaust gas recirculation (EGR) system module(ESM) applications', 'Short to VPWR in the harness or HO2S', 'Water in the harness connector', 'Open VPWR circuit', 'Open GND circuit', 'Low battery voltage', 'Corrosion or incorrect harness connections', 'Damaged HO2S heater']"," Check the HO2S electrical connector for damage, corrosion, and water intrusion.Damaged HO2S heater."
43,P0138 ," O2 Circuit High Voltage (Bank 1, Sensor 2)
",  See the description for DTC P0132.,['See the possible causes for DTC P0132.'],See the diagnostic aids for DTC P0132.
44,P0139 ," O2 Circuit Slow Response (Bank 1, Sensor 2)
"," The heated oxygen sensor (HO2S) monitor tracks the rate of voltage change during the rise and fall of the HO2S signal. When the rate of voltage change is less than a calibrated value, the powertrain control module (PCM) begins to modify the fuel trim attempting to increase the HO2S voltage switch rate. The DTC is set when the PCM is at the allowable limit or has exceeded an allowable length of time for fuel trim modification, without detecting an acceptable rate of voltage change.","[' Contaminated or damaged HO2S ', ' Deteriorating HO2S', ' Exhaust leaks', ' Aftermarket accessories', ' Performance modifications']", Access the HO2S test results from the generic OBD menu to verify the DTC.
45,P0141 ," O2 Heater Circuit (Bank 1, Sensor 2)
",   See the description for DTC P0135.,['See the possible causes for DTC P0135.'],See the diagnostic aids for DTC P0135.
46,P0144 ," O2 Circuit High Voltage (Bank 1, Sensor 3)
",   See the description for DTC P0132.,['See the possible causes for DTC P0132.'],See the diagnostic aids for DTC P0132.
47,P0147 ," O2 Heater Circuit (Bank 1, Sensor 3)
",   See the description for DTC P0135.,['See the possible causes for DTC P0135.'],See the diagnostic aids for DTC P0135.
48,P0148 ," Fuel Delivery Error
",   At least 1 bank is lean at wide open throttle (WOT).,"[' Severely restricted fuel filter ', ' Severely restricted fuel supply line ', ' Damaged or worn fuel pump ', ' Damaged or contaminated mass air flow (MAF) sensor']", 
49,P0152 ," O2 Circuit High Voltage (Bank 2, Sensor 1)
",   See the description for DTC P0132.,['See the possible causes for DTC P0132.'],See the diagnostic aids for DTC P0132.
50,P0153 ," O2 Circuit Slow Response (Bank 2, Sensor 1)
",  See the description for DTC P0133.,['See the possible causes for DTC P0133.'],See the diagnostic aids for DTC P0133.
51,P0155 ," O2 Heater Circuit (Bank 2, Sensor 1)
",  See the description for DTC P0135.,['See the possible causes for DTC P0135.'],See the diagnostic aids for DTC P0135.
52,P0158 ," O2 Circuit High Voltage (Bank 2, Sensor 2)
",  See the description for DTC P0132.,['See the possible causes for DTC P0132.'],See the diagnostic aids for DTC P0132.
53,P0159 ," O2 Circuit Slow Response (Bank 2, Sensor 2)
",  See the description for DTC P0139.,['See the possible causes for DTC P0139.'],See the diagnostic aids for DTC P0139.
54,P0161 ," O2 Heater Circuit (Bank 2, Sensor 2)
",  See the description for DTC P0135.,['See the possible causes for DTC P0135.'],See the diagnostic aids for DTC P0135.
55,P0171 ," System Too Lean (Bank 1)
","   The adaptive fuel strategy continuously monitors the fuel delivery hardware. The test fails   when the adaptive fuel tables reach a rich calibrated limit. Refer to Section 1, Powertrain   Control Software Fuel Trim for more information.","[' Fuel System: ', ' Damaged or leaking fuel pulse damper ', ' Fuel filter plugged or dirty ', ' Damaged or worn fuel pump ', ' Leaking fuel pump check valve ', ' Leaking/contaminated fuel injectors ', ' Low fuel pressure or running out of fuel ', ' Evaporative emission (EVAP) canister purge valve is leaking when the canister is clean ', ' Fuel supply line restricted ', ' Fuel rail pressure sensor bias Exhaust System: ', ' Exhaust leaks in the exhaust manifold gasket or mating gaskets before or near the heated oxygen sensor (HO2S) EGR System: ', ' Vacuum hose disconnected on exhaust gas recirculation (EGR) system module (ESM) applications ', ' EGR valve tube/gasket leak ', ' EGR vacuum regulator solenoid leak Intake Air System: ', ' Air leaks after the mass air flow (MAF) sensor ', ' Vacuum leaks ', ' Positive crankcase ventilation (PCV) system is leaking or the valve is stuck open ', ' Improperly seated engine oil dipstick ', ' Damaged or contaminated MAF sensor Secondary Air Injection: ', ' Damaged secondary air injection system or a mechanically stuck valve']"," View freeze frame data to determine the operating conditions when the DTC was set.Observe the LONGFT1 and LONGFT2 PIDs. Refer to Section 2, Adaptive Fuel DTC "
56,P0172 ," System Too Rich (Bank 1)
","   The adaptive fuel strategy continuously monitors the fuel delivery hardware. The test fails   when the adaptive fuel tables reach a rich calibrated limit. Refer to Section 1, Powertrain   Control Software Fuel Trim for more information.","[' Fuel System: ', ' Damaged or leaking fuel pulse damper ', ' Leaking fuel injectors ', ' Fuel return line restricted ', ' Fuel rail pressure sensor bias ', ' EVAP canister purge valve is leaking when the canister is full Base engine. ', ' Engine oil contamination Intake Air System: ', ' Damaged or contaminated mass air flow (MAF) sensor']"," View freeze frame data to determine the operating conditions when the DTC was set.Observe the LONGFT1 and LONGFT2 PIDs. Refer to Section 2, Adaptive Fuel DTC "
57,P0174 ," System Too Lean (Bank 2)
",   See the description for DTC P0171.,['See the possible causes for DTC P0171.'],See the diagnostic aids for DTC P0171.
58,P0175 ," System Too Rich (Bank 2)
",   See the description for DTC P0172.,['See the possible causes for DTC P0172.'],See the diagnostic aids for DTC P0172.
59,P0180 ," Fuel Temperature Sensor A Circuit
",   The comprehensive component monitor (CCM) monitors the fuel temperature sensor   circuit to the powertrain control module (PCM) for low and high voltage. The test fails if the   voltage falls below or exceeds a calibrated limit and amount of time during testing.,"['Open or short in the harness', 'Low ambient temperature operation ', 'Improper harness connection ', 'Damaged fuel temperature sensor']", Verify the FRT PID value to determine an open or short.
60,P0181 ," Fuel Temperature Sensor A Circuit Range/Performance
","   The comprehensive component monitor (CCM) monitors the fuel temperature sensor for   acceptable operating temperature. The test fails if the voltage falls below or exceeds a   calibrated limit, for a calibrated amount of time during testing.","['Open or short in the harness', 'Low ambient temperature operation ', 'Incorrect harness connection ', 'Damaged fuel temperature sensor ', 'Damaged powertrain control module (PCM)']", Verify the FRT PID value to determine an open or short.
61,P0182 ," Fuel Temperature Sensor A Circuit Low
",   The comprehensive component monitor (CCM) monitors the fuel temperature sensor   circuit to the powertrain control module (PCM) for low voltage. The test fails if the voltage   falls below a calibrated limit for a calibrated amount of time during testing.,"['Short in the harness', 'VREF open or short ', 'Low ambient temperature operation ', 'Incorrect harness connection ', 'Damaged fuel temperature sensor']", Verify the FRT PID and VREF values to determine an open or short.
62,P0183 ," Fuel Temperature Sensor A Circuit High
",   The comprehensive component monitor (CCM) monitors the fuel temperature sensor   circuit to the powertrain control module (PCM) for high voltage. The test fails if the voltage   exceeds a calibrated limit for a calibrated amount of time during testing.,"['Open circuit', 'Open or short to voltage in the harness ', 'Incorrect harness connection ', 'Damaged fuel temperature sensor']", Verify the FRT PID value to determine an open or short.
63,P0190 ," Fuel Rail Pressure Sensor A Circuit
",   The comprehensive component monitor (CCM) monitors the fuel rail pressure (FRP)   sensor to the powertrain control module (PCM) for VREF voltage. The test fails when the   VREF voltage from the PCM drops to a voltage less than a minimum calibrated value.,"['VREF open in harness', 'VREF open in sensor ', 'Vacuum leaks']", Verify a VREF voltage between 4 and 6 volts.
64,P0191 ," Fuel Rail Pressure Sensor A Circuit Range/Performance
",   The comprehensive component monitor (CCM) checks the fuel rail pressure (FRP) sensor   for an acceptable fuel pressure. The test fails when the fuel pressure falls below or   exceeds a minimum/maximum calibrated value for a calibrated period of time.,"['High fuel pressure', 'Low fuel pressure ', 'Damaged FRP sensor ', 'Excessive resistance in the circuit ', 'Vacuum leaks ', 'Low or no fuel']"," A FRP PID value during key ON, engine running of 138 kPa (20 psi) to 413 kPa (60 psi) isacceptable."
65,P0192 ," Fuel Rail Pressure Sensor A Circuit Low
",   The comprehensive component monitor (CCM) monitors the fuel rail pressure (FRP)   sensor circuit to the powertrain control module (PCM) for low voltage. The test fails if the   voltage falls below a calibrated limit for a calibrated amount of time during testing.,"['FRP signal short to SIG RTN or PWR GND', 'Damaged FRP sensor']"," A FRP PID value during key ON, engine OFF or key ON, engine running less than 0.3 voltindicates a concern is present."
66,P0193 ," Fuel Rail Pressure Sensor A Circuit High
",   The comprehensive component monitor (CCM) monitors the fuel rail pressure (FRP)   sensor circuit to the powertrain control module (PCM) for high voltage. The test fails if the   voltage exceeds a calibrated limit for a calibrated amount of time during testing.,"['FRP signal short to VREF or VPWR', 'FRP signal open ', 'Damaged FRP sensor']"," An FRP signal high condition can be caused by any number of conditions, including a shorton FRP signal to VREF, a more positive voltage level, an open FRP signal or signal return. The FRP signal line is pulled up by the PCM and VREF at the sensor, and down by the sensor through SIGRTN."
67,P0196 ," Engine Oil Temperature (EOT) Sensor Circuit Range/Performance
"," Indicates the value from the EOT sensor is not within the powertrain control module (PCM)   predicted engine oil temperature range, based on other PCM inputs.","['Engine not at operating temperature', 'Cooling system problem or stuck thermostat ', 'EOT circuit failure']"," The EOT rationality test looks for the EOT sensor value to be within a calibrated delta ofthe PCM predicted engine oil temperature. Make sure the EOT sensor reading is similar to the engine temperature. If the EOT reading greatly differs from engine temperature, check the EOT circuitry for correct operation."
68,P0197 ," Engine Oil Temperature (EOT) Sensor Circuit Low
",Indicates EOT signal voltage is low (high temperature).,"[' Damaged harness', ' Damaged harness connector ', ' Damaged sensor']",An EOT V PID reading less than 0.2 volt with the key on engine off (KOEO) or during any engine operating mode indicates a short to ground.
69,P0198 ," Engine Oil Temperature (EOT) Sensor Circuit High
",Indicates EOT signal voltage is high (low temperature).,"[' Damaged harness', ' Damaged harness connector ', ' Damaged sensor']",An EOT V PID reading greater than 4.5 volts with the key ON engine OFF or during any engine operating mode indicates an open circuit.
70,P020x , Injector Circuit/Open ,   Note: x represents injector numbers 1 through 9.   The comprehensive component monitor (CCM) monitors the operation of the fuel injector   drivers in the powertrain control module (PCM). The test fails when the fuel injector   circuitry is inoperative.,"['Open circuit', 'Damaged fuel injector ', 'Damaged PCM']", PID Data Monitor INJx_F fault flags equals YES.This DTC is set when a concern is detected between the PCM and the fuel injector.
71,P0210 , Injector Circuit/Open ,  See the description for DTC P020x.,['See the possible causes for DTC P020x.'],See the diagnostic aids for DTC P020x.
72,P0217 , Engine Coolant Over,   Indicates an engine overheat condition was detected by the engine temperature sensor   (CHT or ECT depending how the vehicle is equipped).,"['Engine cooling system concerns', 'Low engine coolant level ', 'Base engine concerns']", Monitor the engine temperature PID (CHT or ECT) for an overheat condition. Typicalengine temperature should be close to cooling system thermostat specification.
73,P0218 , Transmission Fluid Temperature Over,  Indicates a transmission overheat condition was sensed by the transmission fluid  temperature (TFT) sensor.,"[' Low transmission fluid level', ' Transmission cooling system concerns']",Monitor the transmission temperature PID TFT for an overheat condition.
74,P0219 ," Engine Over Speed Condition
"," Indicates the vehicle has been operated in a manner which caused the engine speed to exceed a calibrated limit. The engine RPM is continuously monitored and evaluated by the powertrain control module (PCM). The DTC is set when the RPM exceeds the calibrated limit set within the PCM. For additional information on the engine RPM limiter, refer to Section 1, Powertrain Control Software .","['Wheel slippage (water, ice, mud, and snow) ', 'Excessive engine RPM in NEUTRAL or operated in the wrong transmission gear']", The DTC indicates the vehicle has been operated in a manner which caused the enginespeed to exceed a calibrated limit.
