,code,desc
105,P0106,Manifold Absolute Pressure/Barometric Pressure Circuit Range/Performance Problem
106,P0107,Manifold Absolute Pressure/Barometric Pressure Circuit Low Input
107,P0108,Manifold Absolute Pressure/Barometric Pressure Circuit High Input
108,P0109,Manifold Absolute Pressure/Barometric Pressure Circuit Intermittent
109,P0110,Intake Air Temperature Circuit Malfunction More details...
110,P0111,Intake Air Temperature Circuit Range/Performance Problem
111,P0112,Intake Air Temperature Circuit Low Input
112,P0113,Intake Air Temperature Circuit High Input
113,P0114,Intake Air Temperature Circuit Intermittent
114,P0115,Engine Coolant Temperature Circuit Malfunction
115,P0116,Engine Coolant Temperature Circuit Range/Performance Problem
116,P0117,Engine Coolant Temperature Circuit Low Input
117,P0118,Engine Coolant Temperature Circuit High Input
118,P0119,Engine Coolant Temperature Circuit Intermittent
119,P0120,Throttle Pedal Position Sensor/Switch A Circuit Malfunction
120,P0121,Throttle/Pedal Position Sensor/Switch A Circuit Range/Performance Problem
121,P0122,Throttle/Pedal Position Sensor/Switch A Circuit Low Input
122,P0123,Throttle/Pedal Position Sensor/Switch A Circuit High Input
123,P0124,Throttle/Pedal Position Sensor/Switch A Circuit Intermittent
124,P0125,Insufficient Coolant Temperature for Closed Loop Fuel Control
125,P0126,Insufficient Coolant Temperature for Stable Operation
126,P0127,Intake Air Temperature Too High
127,P0128,Coolant Thermostat (Coolant Temp Below Thermostat Regulating Temperature)
128,P0129,Barometric Pressure Too Low
129,P0130,O2 Sensor Circuit Malfunction (Bank 1 Sensor 1)
130,P0131,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 1)
131,P0132,O2 Sensor Circuit High Voltage (Bank 1 Sensor 1)
132,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1)
133,P0134,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 1)
134,P0135,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 1)
135,P0136,O2 Sensor Circuit Malfunction (Bank 1 Sensor 2)
136,P0137,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 2)
137,P0138,O2 Sensor Circuit High Voltage (Bank 1 Sensor 2)
138,P0139,O2 Sensor Circuit Slow Response (Bank 1 Sensor 2)
139,P0140,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 2)
140,P0141,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 2)
141,P0142,O2 Sensor Circuit Malfunction (Bank 1 Sensor 3)
142,P0143,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 3)
143,P0144,O2 Sensor Circuit High Voltage (Bank 1 Sensor 3)
144,P0145,O2 Sensor Circuit Slow Response (Bank 1 Sensor 3)
145,P0146,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 3)
146,P0147,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 3)
147,P0148,Fuel Delivery Error
148,P0149,Fuel Timing Error
149,P0150,O2 Sensor Circuit Malfunction (Bank 2 Sensor 1)
150,P0151,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 1)
151,P0152,O2 Sensor Circuit High Voltage (Bank 2 Sensor 1)
152,P0153,O2 Sensor Circuit Slow Response (Bank 2 Sensor 1)
153,P0154,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 1)
154,P0155,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 1)
155,P0156,O2 Sensor Circuit Malfunction (Bank 2 Sensor 2)
156,P0157,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 2)
157,P0158,O2 Sensor Circuit High Voltage (Bank 2 Sensor 2)
158,P0159,O2 Sensor Circuit Slow Response (Bank 2 Sensor 2)
159,P0160,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 2)
160,P0161,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 2)
161,P0162,O2 Sensor Circuit Malfunction (Bank 2 Sensor 3)
162,P0163,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 3)
163,P0164,O2 Sensor Circuit High Voltage (Bank 2 Sensor 3)
164,P0165,O2 Sensor Circuit Slow Response (Bank 2 Sensor 3)
165,P0166,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 3)
166,P0167,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 3)
167,P0168,Engine Fuel Temperature Too High
168,P0169,Incorrect Fuel Composition
169,P0170,Fuel Trim Malfunction (Bank 1)
170,P0171,System Too Lean (Bank 1)
171,P0172,System Too Rich (Bank 1)
172,P0173,Fuel Trim Malfunction (Bank 2)
173,P0174,System Too Lean (Bank 2)
174,P0175,System Too Rich (Bank 2)
175,P0176,Fuel Composition Sensor Circuit Malfunction
176,P0177,Fuel Composition Sensor Circuit Range/Performance
177,P0178,Fuel Composition Sensor Circuit Low Input
178,P0179,Fuel Composition Sensor Circuit High Input
179,P0180,Fuel Temperature Sensor A Circuit Malfunction
180,P0181,Fuel Temperature Sensor A Circuit Performance
181,P0182,Fuel Temperature Sensor A Circuit low Input
182,P0183,Fuel Temperature Sensor A Circuit Intermittent
183,P0184,Fuel Temperature Sensor A Circuit Intermittent
184,P0185,Fuel Temperature Sensor B Circuit Malfunction
185,P0186,Fuel Temperature Sensor B Circuit Range/Performance
186,P0187,Fuel Temperature Sensor B Circuit Low Input
187,P0188,Fuel Temperature Sensor B Circuit High Input
188,P0189,Fuel Temperature Sensor B Circuit Intermittent
189,P0190,Fuel Rail Pressure Sensor Circuit Malfunction
190,P0191,Fuel Rail Pressure Sensor Circuit Range/Performance
191,P0192,Fuel Rail Pressure Sensor Circuit Low Input
192,P0193,Fuel Rail Pressure Sensor Circuit High Input
193,P0194,Fuel Rail Pressure Sensor Circuit Intermittent
194,P0195,Engine Oil Temperature Sensor Malfunction
195,P0196,Engine Oil Temperature Sensor Range/Performance
196,P0197,Engine Oil Temperature Sensor Low
197,P0198,Engine Oil Temperature Sensor High
198,P0199,Engine Oil Temperature Sensor Intermittent
199,P0200,Injector Circuit Malfunction
200,P0201,Injector Circuit Malfunction - Cylinder 1
201,P0202,Injector Circuit Malfunction - Cylinder 2
202,P0203,Injector Circuit Malfunction - Cylinder 3
203,P0204,Injector Circuit Malfunction - Cylinder 4
204,P0205,Injector Circuit Malfunction - Cylinder 5
205,P0206,Injector Circuit Malfunction - Cylinder 6
206,P0207,Injector Circuit Malfunction - Cylinder 7
207,P0208,Injector Circuit Malfunction - Cylinder 8
208,P0209,Injector Circuit Malfunction - Cylinder 9
209,P0210,Injector Circuit Malfunction - Cylinder 10
210,P0211,Injector Circuit Malfunction - Cylinder 11
211,P0212,Injector Circuit Malfunction - Cylinder 12
212,P0213,Cold Start Injector 1 Malfunction
213,P0214,Cold Start Injector 2 Malfunction
214,P0215,Engine Shutoff Solenoid Malfunction
215,P0216,Injection Timing Control Circuit Malfunction
216,P0217,Engine Overtemp Condition
217,P0218,Transmission Over Temperature Condition
218,P0219,Engine Over Speed Condition
219,P0220,Throttle/Pedal Position Sensor/Switch B Circuit Malfunction
220,P0221,Throttle/Pedal Position Sensor/Switch B Circuit Range/Performance Problem
221,P0222,Throttle/Pedal Position Sensor/Switch B Circuit Low Input
222,P0223,Throttle/Pedal Position Sensor/Switch B Circuit High Input
223,P0224,Throttle/Pedal Position Sensor/Switch B Circuit Intermittent
224,P0225,Throttle/Pedal Position Sensor/Switch C Circuit Malfunction
225,P0226,Throttle/Pedal Position Sensor/Switch C Circuit Range/Performance Problem
226,P0227,Throttle/Pedal Position Sensor/Switch C Circuit Low Input
227,P0228,Throttle/Pedal Position Sensor/Switch C Circuit High Input
228,P0229,Throttle/Pedal Position Sensor/Switch C Circuit Intermittent
229,P0230,Fuel Pump Primary Circuit Malfunction
230,P0231,Fuel Pump Secondary Circuit Low
231,P0232,Fuel Pump Secondary Circuit Intermittent
232,P0233,Fuel Pump Secondary Circuit Intermittent
233,P0234,Engine Overboost Condition
234,P0235,Turbocharger Boost Sensor A Circuit Malfunction
235,P0236,Turbocharger Boost Sensor A Circuit Range/Performance.
236,P0237,Turbocharger Boost Sensor A Circuit Low
237,P0238,Turbocharger Boost Sensor A Circuit High
238,P0239,Turbocharger Boost Sensor B Circuit Malfunction
239,P0240,Turbocharger Boost Sensor B Circuit Range/Performance
240,P0241,Turbocharger Boost Sensor B Circuit Low
241,P0242,Turbocharger Boost Sensor B Circuit High
242,P0243,Turbocharger Wastegate Solenoid A Malfunction
243,P0244,Turbocharger Wastegate Solenoid A Range/Performance
244,P0245,Turbocharger Wastegate Solenoid A low
245,P0246,Turbocharger Wastegate Solenoid A High
246,P0247,Turbocharger Wastegate Solenoid B Malfunction
247,P0248,Turbocharger Wastegate Solenoid B Range/Performance
248,P0249,Turbocharger Wastegate Solenoid B Low
249,P0250,Turbocharger Wastegate Solenoid B High
250,P0251,Injection Pump Fuel Metering Control A Malfunction (Cam/Rotor/Injector)
251,P0252,Injection Pump Fuel Metering Control A Range/Performance (Cam/Rotor/Injector)
252,P0253,Injection Pump Fuel Metering Control A Low (Cam/Rotor/Injector)
253,P0254,Injection Pump Fuel Metering Control A High (Cam/Rotor/Injector)
254,P0255,Injection Pump Fuel Metering Control A Intermittent (Cam/Rotor/Injector)
255,P0256,Injection Pump Fuel Metering Control B Malfunction (Cam/Rotor/Injector)
256,P0257,Injection Pump Fuel Metering Control B Low (Cam/Rotor/Injector)
257,P0258,Injection Pump Fuel Metering Control B Low (Cam/Rotor/Injector)
258,P0259,Injection lump Fuel Metering Control B High (Cam/Rotor/Injector)
259,P0260,Injection Pump Fuel Metering Control B Intermittent (Cam/Rotor/Injector)
260,P0261,Cylinder 1 Injector Circuit Low
261,P0262,Cylinder 1 Injector Circuit High
262,P0263,Cylinder 1 Contribution/Balance Fault
263,P0264,Cylinder 2 Injector Circuit Low
264,P0265,Cylinder 2 Injector Circuit High
265,P0266,Cylinder 2 Contribution/Balance Fault
266,P0267,Cylinder 3 Injector Circuit Low
267,P0268,Cylinder 3 Injector Circuit High
268,P0269,Cylinder 3 Contribution/Balance Fault
269,P0270,Cylinder 4 Injector Circuit Low
270,P0271,Cylinder 4 Injector Circuit High
271,P0272,Cylinder 4 Contribution/Balance Fault
272,P0273,Cylinder 5 Injector Circuit Low
273,P0274,Cylinder 5 Injector Circuit High
274,P0275,Cylinder 5 Contribution/Balance Fault
275,P0276,Cylinder 6 Injector Circuit Low
276,P0277,Cylinder 6 Injector Circuit High
277,P0278,Cylinder 6 Contribution/Balance Fault
278,P0279,Cylinder 7 Injector Circuit Low
279,P0280,Cylinder 7 Injector Circuit High
280,P0281,Cylinder 7 Contribution/Balance Fault
281,P0282,Cylinder 8 Injector Circuit Low
282,P0283,Cylinder 8 Injector Circuit High
283,P0284,Cylinder 8 Contribution/Balance Fault
284,P0285,Cylinder 9 Injector Circuit Low
285,P0286,Cylinder 9 Injector Circuit High
286,P0287,Cylinder 9 Contribution/Balance Fault
287,P0288,Cylinder 10 Injector Circuit Low
288,P0289,Cylinder 10 Injector Circuit High
289,P0290,Cylinder 10 Contribution/Balance Fault
290,P0291,Cylinder 11 Injector Circuit Low
291,P0292,Cylinder 11 Injector Circuit High
292,P0293,Cylinder 11 Contribution/Balance Fault
293,P0294,Cylinder 12 Injector Circuit Low
294,P0295,Cylinder 12 Injector Circuit High
295,P0296,Cylinder 12 Contribution/Balance Fault
296,P0297,Vehicle Overspeed Condition
297,P0298,Engine Oil Over Temperature
298,P0299,Turbo / Super Charger Underboost
299,P0300,Random/Multiple Cylinder Misfire Detected
300,P0301,Cylinder 1 Misfire Detected More details...
301,P0302,Cylinder 2 Misfire Detected More details...
302,P0303,Cylinder 3 Misfire Detected More details...
303,P0304,Cylinder 4 Misfire Detected More details...
304,P0305,Cylinder 5 Misfire Detected
305,P0306,Cylinder 6 Misfire Detected
306,P0307,Cylinder 7 Misfire Detected
307,P0308,Cylinder 8 Misfire Detected
308,P0309,Cylinder 9 Misfire Detected
309,P0310,Cylinder 10 Misfire Detected
310,P0311,Cylinder 11 Misfire Detected
311,P0312,Cylinder 12 Misfire Detected
312,P0313,Misfire Detected with Low Fuel
313,P0314,Single Cylinder Misfire (Cylinder not Specified)
314,P0315,Crankshaft Position System Variation Not Learned
315,P0316,Misfire Detected On Startup (First 1000 Revolutions)
316,P0317,Rough Road Hardware Not Present
317,P0318,Rough Road Sensor A Signal Circuit
318,P0319,Rough Road Sensor B Signal Circuit
319,P0320,Ignition/Distributor Engine Speed Input Circuit Malfunction
320,P0321,Ignition/Distributor Engine Speed Input Circuit Range/Performance
321,P0322,Ignition/Distributor Engine Speed Input Circuit No Signal
322,P0323,Ignition/Distributor Engine Speed Input Circuit Intermittent
323,P0324,Single Cylinder Misfire (Cylinder not Specified)
324,P0325,Knock Sensor 1 Circuit (Bank 2 or Single Sensor)
325,P0326,Knock Sensor 1 Circuit Range/Performance (Bank 2 or Single Sensor)
326,P0327,Knock Sensor 1 Circuit low Input (Bank 2 or Single Sensor)
327,P0328,Knock Sensor 1 Circuit High Input (Bank 2 or Single Sensor)
328,P0329,Knock Sensor 1 Circuit Input Intermittent (Bank 2 or Single Sensor)
329,P0330,Knock Sensor 2 Circuit (Bank 2)
330,P0331,Knock Sensor 2 Circuit Range/Performance (Bank 2)
331,P0332,Knock Sensor 2 Circuit Low Input (Bank 2)
332,P0333,Knock Sensor 2 Circuit High Input (Bank 2)
333,P0334,Knock Sensor 2 Circuit Input Intermittent (Bank 2)
334,P0335,Crankshaft Position Sensor A Circuit Malfunction
335,P0336,Crankshaft Position Sensor A Circuit Range/Performance
336,P0337,Crankshaft Position Sensor A Circuit Low Input
337,P0338,Crankshaft Position Sensor A Circuit High Input
338,P0339,Crankshaft Position Sensor A Circuit Intermittent
339,P0340,Camshaft Position Sensor Circuit Malfunction
340,P0341,Camshaft Position Sensor Circuit Range/Performance
341,P0342,Camshaft Position Sensor Circuit Low Input
342,P0343,Camshaft Position Sensor Circuit High Input
343,P0344,Camshaft Position Sensor Circuit Intermittent
344,P0345,Camshaft Position Sensor A Circuit (Bank 2)
345,P0346,Camshaft Position Sensor A Circuit Range/Performance (Bank 2)
346,P0347,Camshaft Position Sensor A Circuit Low Input (Bank 2)
347,P0348,Camshaft Position Sensor A Circuit High Input (Bank 2)
348,P0349,Camshaft Position Sensor A Circuit Intermittent (Bank 2)
349,P0350,Ignition Coil Primary/Secondary Circuit Malfunction
350,P0351,Ignition Coil A Primary/Secondary Circuit Malfunction
351,P0352,Ignition Coil B Primary/Secondary Circuit Malfunction
352,P0353,Ignition Coil C Primary/Secondary Circuit Malfunction
353,P0354,Ignition Coil D Primary/Secondary Circuit Malfunction
354,P0355,Ignition Coil E Primary/Secondary Circuit Malfunction
355,P0356,Ignition Coil F Primary/Secondary Circuit Malfunction
356,P0357,Ignition Coil G Primary/Secondary Circuit Malfunction
357,P0358,Ignition Coil H Primary/Secondary Circuit Malfunction
358,P0359,Ignition Coil I Primary/Secondary Circuit Malfunction
359,P0360,Ignition Coil J Primary/Secondary Circuit Malfunction
360,P0361,Ignition Coil K Primary/Secondary Circuit Malfunction
361,P0362,Ignition Coil L Primary/Secondary Circuit Malfunction
362,P0363,Misfire Detected - Fueling Disabled
363,P0364,Ignition Coil L Primary/Secondary Circuit
364,P0365,Camshaft Position Sensor B Circuit (Bank 2)
365,P0366,Camshaft Position Sensor B Circuit Range/Performance (Bank 2)
366,P0367,Camshaft Position Sensor B Circuit Low Input (Bank 2)
367,P0368,Camshaft Position Sensor B Circuit High Input (Bank 2)
368,P0369,Camshaft Position Sensor B Circuit Intermittent (Bank 2)
369,P0370,Timing Reference High Resolution Signal A Malfunction
370,P0371,Timing Reference High Resolution Signal A Too Many Pulses
371,P0372,Timing Reference High Resolution Signal A Too Few Pulses
372,P0373,Timing Reference High Resolution Signal A Intermittent/Erratic Pulses
373,P0374,Timing Reference High Resolution Signal A No Pulses
374,P0375,Timing Reference High Resolution Signal B Malfunction
375,P0376,Timing Reference High Resolution Signal B Too Many Pulses
376,P0377,Timing Reference High Resolution Signal B Too Few Pulses
377,P0378,Timing Reference High Resolution Signal B Intermittent/Erratic Pulses
378,P0379,Timing Reference High Resolution Signal B No Pulses
379,P0380,Glow Plug/Heater Circuit A Malfunction More details...
380,P0381,Glow Plug/Heater Indicator Circuit Malfunction
381,P0382,Glow Plug/Heater Circuit B Malfunction
382,P0383,Glow Plug/Heater Indicator Circuit
383,P0384,Glow Plug/Heater Circuit B
384,P0385,Crankshaft Position Sensor B Circuit Malfunction
385,P0386,Crankshaft Position Sensor B Circuit Range/Performance
386,P0387,Crankshaft Position Sensor B Circuit Low Input
387,P0388,Crankshaft Position Sensor B Circuit High Input
388,P0389,Crankshaft Position Sensor B Circuit Intermittent
389,P0390,Camshaft Position Sensor B Circuit (Bank 2)
390,P0391,Camshaft Position Sensor B Circuit Range/Performance (Bank 2)
391,P0392,Camshaft Position Sensor B Circuit Low Input (Bank 2)
392,P0393,Camshaft Position Sensor B Circuit High Input (Bank 2)
393,P0394,Camshaft Position Sensor B Circuit Intermittent (Bank 2)
394,P0395,Camshaft Position Sensor B Circuit High Input (Bank 2)
395,P0396,Camshaft Position Sensor B Circuit Intermittent (Bank 2)
396,P0397,
397,P0398,
398,P0400,Exhaust Gas Recirculation Flow Malfunction
399,P0401,Exhaust Gas Recirculation Flow Insufficient Detected
400,P0402,Exhaust Gas Recirculation Flow Excessive Detected
401,P0403,Exhaust Gas Recirculation Circuit Malfunction
402,P0404,Exhaust Gas Recirculation Circuit Range/Performance
403,P0405,Exhaust Gas Recirculation Sensor A Circuit Low
404,P0406,Exhaust Gas Recirculation Sensor A Circuit High
405,P0407,Exhaust Gas Recirculation Sensor B Circuit Low
406,P0408,Exhaust Gas Recirculation Sensor B Circuit High
407,P0409,Exhaust Gas Recirculation Sensor A Circuit
408,P0410,Secondary Air Injection System Malfunction
409,P0411,Secondary Air Injection System Incorrect Flow Detected
410,P0412,Secondary Air Injection System Switching Valve A Circuit Malfunction
411,P0413,Secondary Air Injection System Switching Valve A Circuit Open
412,P0414,Secondary Air Injection System Switching Valve A Circuit Shorted
413,P0415,Secondary Air Injection System Switching Valve B Circuit Malfunction
414,P0416,Secondary Air Injection System Switching Valve B Circuit Open
415,P0417,Secondary Air Injection System Switching Valve B Circuit Shorted
416,P0418,Secondary Air Injection System Relay A circuit Malfunction
417,P0419,Secondary Air Injection System Relay B Circuit Malfunction
418,P0420,Catalyst System Efficiency Below Threshold (Bank 1)
419,P0421,Warm Up Catalyst Efficiency Below Threshold (Bank 1)
420,P0422,Main Catalyst Efficiency Below Threshold (Bank 1)
421,P0423,Heated Catalyst Efficiency Below Threshold (Bank 1)
422,P0424,Heated Catalyst Temperature Below Threshold (Bank 1)
423,P0425,Catalyst Temperature Sensor (Bank 1 Sensor 1)
424,P0426,Catalyst Temperature Sensor Range/Performance (Bank 1 Sensor 1)
425,P0427,Catalyst Temperature Sensor Low Input (Bank 1 Sensor 1)
426,P0428,Catalyst Temperature Sensor High Input (Bank 1 Sensor 1)
427,P0429,Catalyst Heater Control Circuit (Bank 1)
428,P0430,Catalyst System Efficiency Below Threshold (Bank 2)
429,P0431,Warm Up Catalyst Efficiency Below Threshold (Bank 2)
430,P0432,Main Catalyst Efficiency Below Threshold (Bank 2)
431,P0433,Heated Catalyst Efficiency Below Threshold (Bank 2)
432,P0434,Heated Catalyst Temperature Below Threshold (Bank 2)
433,P0435,Catalyst Temperature Sensor (Bank 2 Sensor 1)
434,P0436,Catalyst Temperature Sensor Range/Performance (Bank 2 Sensor 1)
435,P0437,Catalyst Temperature Sensor Low Input (Bank 2 Sensor 1)
436,P0438,Catalyst Temperature Sensor High Input (Bank 2 Sensor 1)
437,P0439,Catalyst Heater Control Circuit (Bank 2)
438,P0440,Evaporative Emission Control System Malfunction
439,P0441,Evaporative Emission Control System Incorrect Purge flow
440,P0442,Evaporative Emission Control System leak Detected (small leak)
441,P0443,Evaporative Emission Control System Purge Control Valve circuit Malfunction
442,P0444,Evaporative Emission Control System Purge Control Valve Circuit Open
443,P0445,Evaporative Emission Control System Purge Control Valve Circuit Shorted
444,P0446,Evaporative Emission Control System Vent Control Circuit Malfunction
445,P0447,Evaporative Emission Control System Vent Control Circuit Open
446,P0448,Evaporative Emission Control System Vent Control Circuit Shorted
447,P0449,Evaporative Emission Control System Vent Valve/Solenoid Circuit Malfunction
448,P0460,Evaporative Emission Control System Pressure Sensor Malfunction
449,P0461,Evaporative Emission Control System Pressure Sensor Range/Performance
450,P0462,Evaporative Emission Control System Pressure Sensor Low Input
451,P0463,Evaporative Emission Control System Pressure Sensor High Input
452,P0464,Evaporative Emission Control System Pressure Sensor Intermittent
453,P0465,Evaporative Emission Control System Tank Detected (gross leak)
454,P0466,Evaporative Emission System Leak Detected (very small leak)
455,P0467,Evaporative Emission System Leak Detected (fuel cap loose/off)
456,P0468,Evaporative Emission System Purge Control Valve Circuit Low
